date,port_or_region,fuel_type,price,currency
01-01-2020,Singapore,IFO380,459.8,USD
01-01-2020,Singapore,VLSFO,646.32,USD
01-01-2020,Singapore,MGO,936.42,USD
01-01-2020,Fujairah,IFO380,449.75,USD
01-01-2020,Fujairah,VLSFO,641.37,USD
01-01-2020,Fujairah,MGO,930.62,USD
01-01-2020,Rotterdam,IFO380,465.32,USD
01-01-2020,Rotterdam,VLSFO,664.26,USD
01-01-2020,Rotterdam,MGO,957.19,USD
01-01-2020,Houston,IFO380,449.42,USD
01-01-2020,Houston,VLSFO,633.89,USD
01-01-2020,Houston,MGO,929.98,USD
01-01-2020,Durban,IFO380,479.2,USD
01-01-2020,Durban,VLSFO,683.58,USD
01-01-2020,Durban,MGO,979.55,USD
31-01-2020,Singapore,IFO380,410.37,USD
31-01-2020,Singapore,VLSFO,586.59,USD
31-01-2020,Singapore,MGO,857.16,USD
31-01-2020,Fujairah,IFO380,391.21,USD
31-01-2020,Fujairah,VLSFO,560.69,USD
31-01-2020,Fujairah,MGO,813.27,USD
31-01-2020,Rotterdam,IFO380,417.61,USD
31-01-2020,Rotterdam,VLSFO,595.26,USD
31-01-2020,Rotterdam,MGO,866.48,USD
31-01-2020,Houston,IFO380,395.43,USD
31-01-2020,Houston,VLSFO,553.46,USD
31-01-2020,Houston,MGO,820.38,USD
31-01-2020,Durban,IFO380,428.61,USD
31-01-2020,Durban,VLSFO,614.14,USD
31-01-2020,Durban,MGO,899.61,USD
01-03-2020,Singapore,IFO380,323.96,USD
01-03-2020,Singapore,VLSFO,459.59,USD
01-03-2020,Singapore,MGO,663.23,USD
01-03-2020,Fujairah,IFO380,303.18,USD
01-03-2020,Fujairah,VLSFO,442.15,USD
01-03-2020,Fujairah,MGO,648.84,USD
01-03-2020,Rotterdam,IFO380,326.09,USD
01-03-2020,Rotterdam,VLSFO,475.43,USD
01-03-2020,Rotterdam,MGO,690.69,USD
01-03-2020,Houston,IFO380,304.3,USD
01-03-2020,Houston,VLSFO,433.84,USD
01-03-2020,Houston,MGO,621.88,USD
01-03-2020,Durban,IFO380,345.92,USD
01-03-2020,Durban,VLSFO,494.49,USD
01-03-2020,Durban,MGO,717.06,USD
31-03-2020,Singapore,IFO380,246.13,USD
31-03-2020,Singapore,VLSFO,360.37,USD
31-03-2020,Singapore,MGO,522.63,USD
31-03-2020,Fujairah,IFO380,273.26,USD
31-03-2020,Fujairah,VLSFO,365.13,USD
31-03-2020,Fujairah,MGO,532.94,USD
31-03-2020,Rotterdam,IFO380,273.57,USD
31-03-2020,Rotterdam,VLSFO,384.9,USD
31-03-2020,Rotterdam,MGO,564.48,USD
31-03-2020,Houston,IFO380,240.83,USD
31-03-2020,Houston,VLSFO,343.79,USD
31-03-2020,Houston,MGO,501.8,USD
31-03-2020,Durban,IFO380,278.87,USD
31-03-2020,Durban,VLSFO,414.46,USD
31-03-2020,Durban,MGO,587.31,USD
30-04-2020,Singapore,IFO380,171.95,USD
30-04-2020,Singapore,VLSFO,238.12,USD
30-04-2020,Singapore,MGO,338.44,USD
30-04-2020,Fujairah,IFO380,165.01,USD
30-04-2020,Fujairah,VLSFO,227.95,USD
30-04-2020,Fujairah,MGO,336.07,USD
30-04-2020,Rotterdam,IFO380,170.57,USD
30-04-2020,Rotterdam,VLSFO,256.9,USD
30-04-2020,Rotterdam,MGO,363.88,USD
30-04-2020,Houston,IFO380,151.34,USD
30-04-2020,Houston,VLSFO,212.22,USD
30-04-2020,Houston,MGO,316.67,USD
30-04-2020,Durban,IFO380,172.48,USD
30-04-2020,Durban,VLSFO,249.23,USD
30-04-2020,Durban,MGO,363.65,USD
30-05-2020,Singapore,IFO380,180.61,USD
30-05-2020,Singapore,VLSFO,258.51,USD
30-05-2020,Singapore,MGO,373.67,USD
30-05-2020,Fujairah,IFO380,194.25,USD
30-05-2020,Fujairah,VLSFO,269.57,USD
30-05-2020,Fujairah,MGO,403.7,USD
30-05-2020,Rotterdam,IFO380,211.48,USD
30-05-2020,Rotterdam,VLSFO,288.66,USD
30-05-2020,Rotterdam,MGO,424.46,USD
30-05-2020,Houston,IFO380,183.39,USD
30-05-2020,Houston,VLSFO,268.81,USD
30-05-2020,Houston,MGO,391.85,USD
30-05-2020,Durban,IFO380,191.78,USD
30-05-2020,Durban,VLSFO,261.43,USD
30-05-2020,Durban,MGO,391.73,USD
29-06-2020,Singapore,IFO380,203.21,USD
29-06-2020,Singapore,VLSFO,305.75,USD
29-06-2020,Singapore,MGO,425.29,USD
29-06-2020,Fujairah,IFO380,204.8,USD
29-06-2020,Fujairah,VLSFO,297.4,USD
29-06-2020,Fujairah,MGO,414.26,USD
29-06-2020,Rotterdam,IFO380,224.21,USD
29-06-2020,Rotterdam,VLSFO,316.3,USD
29-06-2020,Rotterdam,MGO,467.1,USD
29-06-2020,Houston,IFO380,200.21,USD
29-06-2020,Houston,VLSFO,290.58,USD
29-06-2020,Houston,MGO,418.62,USD
29-06-2020,Durban,IFO380,227.25,USD
29-06-2020,Durban,VLSFO,326.26,USD
29-06-2020,Durban,MGO,456.45,USD
29-07-2020,Singapore,IFO380,202.73,USD
29-07-2020,Singapore,VLSFO,302.96,USD
29-07-2020,Singapore,MGO,443.7,USD
29-07-2020,Fujairah,IFO380,197.73,USD
29-07-2020,Fujairah,VLSFO,286.09,USD
29-07-2020,Fujairah,MGO,413.07,USD
29-07-2020,Rotterdam,IFO380,210.18,USD
29-07-2020,Rotterdam,VLSFO,295.61,USD
29-07-2020,Rotterdam,MGO,422.41,USD
29-07-2020,Houston,IFO380,201.97,USD
29-07-2020,Houston,VLSFO,289.58,USD
29-07-2020,Houston,MGO,418.96,USD
29-07-2020,Durban,IFO380,207.14,USD
29-07-2020,Durban,VLSFO,302.91,USD
29-07-2020,Durban,MGO,438.55,USD
28-08-2020,Singapore,IFO380,218.6,USD
28-08-2020,Singapore,VLSFO,316.56,USD
28-08-2020,Singapore,MGO,448.05,USD
28-08-2020,Fujairah,IFO380,215.41,USD
28-08-2020,Fujairah,VLSFO,308.3,USD
28-08-2020,Fujairah,MGO,454.9,USD
28-08-2020,Rotterdam,IFO380,233.91,USD
28-08-2020,Rotterdam,VLSFO,333.57,USD
28-08-2020,Rotterdam,MGO,476.24,USD
28-08-2020,Houston,IFO380,211.65,USD
28-08-2020,Houston,VLSFO,305.87,USD
28-08-2020,Houston,MGO,440.84,USD
28-08-2020,Durban,IFO380,234.84,USD
28-08-2020,Durban,VLSFO,327.97,USD
28-08-2020,Durban,MGO,492.85,USD
27-09-2020,Singapore,IFO380,215.7,USD
27-09-2020,Singapore,VLSFO,321.45,USD
27-09-2020,Singapore,MGO,464.14,USD
27-09-2020,Fujairah,IFO380,227.68,USD
27-09-2020,Fujairah,VLSFO,320.72,USD
27-09-2020,Fujairah,MGO,459.73,USD
27-09-2020,Rotterdam,IFO380,229.87,USD
27-09-2020,Rotterdam,VLSFO,337.13,USD
27-09-2020,Rotterdam,MGO,482.29,USD
27-09-2020,Houston,IFO380,210.73,USD
27-09-2020,Houston,VLSFO,304.99,USD
27-09-2020,Houston,MGO,436.46,USD
27-09-2020,Durban,IFO380,235.02,USD
27-09-2020,Durban,VLSFO,334.99,USD
27-09-2020,Durban,MGO,481.27,USD
27-10-2020,Singapore,IFO380,245.46,USD
27-10-2020,Singapore,VLSFO,343.2,USD
27-10-2020,Singapore,MGO,497.6,USD
27-10-2020,Fujairah,IFO380,236.76,USD
27-10-2020,Fujairah,VLSFO,341,USD
