horizon,feature,importance
7-day,route_id_AUS_DHA_PAN,5.0388655e-07
7-day,route_id_AUS_GAN_PAN,4.232947e-07
7-day,route_id_AUS_GOP_PAN,4.3976644e-07
7-day,route_id_AUS_HAL_PAN,6.8675695e-07
7-day,route_id_AUS_PAR_PAN,4.8466535e-07
7-day,route_id_AUS_VIZ_PAN,4.424908e-07
7-day,route_id_IDN_DHA_PAN,8.016175e-08
7-day,route_id_IDN_GAN_PAN,1.5265505e-07
7-day,route_id_IDN_GOP_PAN,9.512635e-08
7-day,route_id_IDN_HAL_PAN,4.7178827e-07
7-day,route_id_IDN_PAR_PAN,1.8623246e-07
7-day,route_id_IDN_VIZ_PAN,2.1434977e-07
7-day,route_id_MOZ_DHA_PAN,6.490125e-07
7-day,route_id_MOZ_GAN_PAN,5.8741796e-07
7-day,route_id_MOZ_GOP_PAN,5.93734e-07
7-day,route_id_MOZ_HAL_PAN,8.9931865e-07
7-day,route_id_MOZ_PAR_PAN,6.029178e-07
7-day,route_id_MOZ_VIZ_PAN,9.890094e-07
7-day,route_id_RUS_DHA_PAN,8.464627e-07
7-day,route_id_RUS_GAN_PAN,8.69427e-07
7-day,route_id_RUS_GOP_PAN,4.795701e-07
7-day,route_id_RUS_HAL_PAN,9.303061e-07
7-day,route_id_RUS_PAR_PAN,8.7054036e-07
7-day,route_id_RUS_VIZ_PAN,7.8328816e-07
7-day,route_id_USA_DHA_PAN,1.2925672e-06
7-day,route_id_USA_GAN_PAN,1.2661081e-06
7-day,route_id_USA_GOP_PAN,1.3148131e-06
7-day,route_id_USA_HAL_PAN,2.5653007e-06
7-day,route_id_USA_PAR_PAN,2.2036256e-06
7-day,route_id_USA_VIZ_PAN,1.1154178e-06
7-day,origin_Australia,8.041227e-05
7-day,origin_Indonesia,0.04920716
7-day,origin_Mozambique,3.059348e-05
7-day,origin_Russia,4.5438905e-05
7-day,origin_USA,0.9304865
7-day,destination_port_Dhamra,8.661142e-07
7-day,destination_port_Gangavaram,7.2503025e-07
7-day,destination_port_Gopalpur,1.0439683e-06
7-day,destination_port_Haldia,1.0374839e-06
7-day,destination_port_Paradip,7.928525e-07
7-day,destination_port_Vizag,8.039402e-07
7-day,vessel_class_Panamax,0.0
7-day,cargo_type_Coal,0.0
7-day,distance_nm,0.013097511
7-day,synthetic_bunker_price_usd_mt,1.1582358e-06
7-day,freight_usd_mt,0.0027272927
7-day,freight_lag_1d,0.002543934
7-day,freight_lag_7d,3.155209e-06
7-day,freight_lag_30d,2.528163e-06
7-day,freight_lag_60d,1.6539036e-06
7-day,freight_lag_90d,1.2389398e-06
7-day,freight_rolling_mean_7d,0.0016236273
7-day,freight_rolling_mean_30d,0.00011218007
7-day,year,2.6223436e-06
7-day,month,1.7652126e-06
7-day,day_of_week,3.7636223e-08
7-day,day_of_year,2.971261e-06
30-day,route_id_AUS_DHA_PAN,3.2985263e-06
30-day,route_id_AUS_GAN_PAN,4.112452e-06
30-day,route_id_AUS_GOP_PAN,7.5825856e-06
30-day,route_id_AUS_HAL_PAN,2.2559823e-05
30-day,route_id_AUS_PAR_PAN,5.0789404e-06
30-day,route_id_AUS_VIZ_PAN,3.0459512e-06
30-day,route_id_IDN_DHA_PAN,1.162401e-06
30-day,route_id_IDN_GAN_PAN,2.3149996e-06
30-day,route_id_IDN_GOP_PAN,3.927588e-06
30-day,route_id_IDN_HAL_PAN,1.259257e-05
30-day,route_id_IDN_PAR_PAN,2.4547212e-06
30-day,route_id_IDN_VIZ_PAN,1.3328117e-06
30-day,route_id_MOZ_DHA_PAN,5.6127283e-06
30-day,route_id_MOZ_GAN_PAN,5.8500577e-06
30-day,route_id_MOZ_GOP_PAN,6.9612647e-06
30-day,route_id_MOZ_HAL_PAN,1.7450831e-05
30-day,route_id_MOZ_PAR_PAN,5.0766425e-06
30-day,route_id_MOZ_VIZ_PAN,6.2702793e-06
30-day,route_id_RUS_DHA_PAN,7.2426838e-06
30-day,route_id_RUS_GAN_PAN,8.654113e-06
30-day,route_id_RUS_GOP_PAN,9.112177e-06
30-day,route_id_RUS_HAL_PAN,1.9831426e-05
30-day,route_id_RUS_PAR_PAN,1.0046049e-05
30-day,route_id_RUS_VIZ_PAN,1.0438367e-05
30-day,route_id_USA_DHA_PAN,1.2069901e-05
30-day,route_id_USA_GAN_PAN,1.3763067e-05
30-day,route_id_USA_GOP_PAN,1.7231327e-05
30-day,route_id_USA_HAL_PAN,4.3265223e-05
30-day,route_id_USA_PAR_PAN,2.8525326e-05
