route_id,as_of_date,latest_freight_usd_mt,pred_7d_freight_usd_mt,pred_30d_freight_usd_mt,pred_60d_freight_usd_mt,pred_90d_freight_usd_mt
AUS_DHA_PAN,2025-12-01,15.08,15.190511,16.2965,17.028822,16.946844
AUS_GAN_PAN,2025-12-01,14.73,15.136095,16.209202,16.800861,17.27026
AUS_GOP_PAN,2025-12-01,14.96,15.270503,16.616526,17.343712,17.01556
AUS_HAL_PAN,2025-12-01,16.24,16.491146,17.339205,18.43095,18.549105
AUS_PAR_PAN,2025-12-01,15.11,15.296084,16.629166,17.328285,16.843948
AUS_VIZ_PAN,2025-12-01,14.69,15.242165,16.412172,17.225695,17.229347
IDN_DHA_PAN,2025-12-01,9.06,9.325905,10.050652,9.891135,10.118838
IDN_GAN_PAN,2025-12-01,8.62,9.038451,10.017414,9.829352,10.116528
IDN_GOP_PAN,2025-12-01,8.73,9.08623,10.22462,10.129106,10.231128
IDN_HAL_PAN,2025-12-01,9.53,9.724562,10.121649,10.615105,11.100162
IDN_PAR_PAN,2025-12-01,8.63,9.044086,10.027253,9.621338,10.010198
IDN_VIZ_PAN,2025-12-01,8.87,9.077874,10.26469,10.117171,10.039543
MOZ_DHA_PAN,2025-12-01,20.62,21.149021,22.888285,22.814064,23.244926
MOZ_GAN_PAN,2025-12-01,19.27,19.41179,21.033089,23.079784,23.49515
MOZ_GOP_PAN,2025-12-01,21.13,21.762674,23.771278,24.338255,24.41951
MOZ_HAL_PAN,2025-12-01,22.33,22.743015,24.026114,24.084654,25.49403
MOZ_PAR_PAN,2025-12-01,20.3,20.703402,22.403278,22.388073,22.84149
MOZ_VIZ_PAN,2025-12-01,20.66,21.224253,23.054853,23.464151,24.41123
RUS_DHA_PAN,2025-12-01,25.65,26.002321,26.001469,27.038313,28.736574
RUS_GAN_PAN,2025-12-01,24.73,25.009794,26.786942,27.950443,29.25336
RUS_GOP_PAN,2025-12-01,24.15,24.360636,26.457909,27.648851,29.075064
RUS_HAL_PAN,2025-12-01,25.92,26.278337,27.187342,27.235174,29.148943
RUS_PAR_PAN,2025-12-01,23.48,23.771172,25.192825,26.92579,27.880396
RUS_VIZ_PAN,2025-12-01,25.34,25.476017,26.166796,27.26728,28.788443
USA_DHA_PAN,2025-12-01,42.72,43.90803,47.326027,48.39029,49.97321
USA_GAN_PAN,2025-12-01,41.6,42.69264,46.192696,48.189045,50.77773
USA_GOP_PAN,2025-12-01,46.37,46.81921,46.812164,49.352104,48.57105
USA_HAL_PAN,2025-12-01,43.23,44.32029,48.13527,48.786724,49.785336
USA_PAR_PAN,2025-12-01,41.2,42.00573,45.383366,45.574387,47.13748
USA_VIZ_PAN,2025-12-01,42.92,43.468834,46.635098,47.341137,49.253635
