port_name,country,port_code,latitude,longitude
Gladstone,Australia,AUS,-23.8489,151.2555
Newcastle,Australia,AUS,-32.9283,151.7817
Hay Point,Australia,AUS,-21.2833,149.3
Dalrymple Bay,Australia,AUS,-21.2667,149.2833
Taboneo,Indonesia,IND,-3.45,114.6167
Muara Pantai,Indonesia,IND,-0.45,117.1167
Samarinda,Indonesia,IND,-0.5022,117.1536
Hampton Roads,USA,USA,36.9468,-76.33
Baltimore,USA,USA,39.2667,-76.5833
New Orleans,USA,USA,29.95,-90.0667
Beira,Mozambique,MOZ,-19.8433,34.8383
Nacala,Mozambique,MOZ,-14.5658,40.6725
Ust-Luga (Baltic),Russia,RUS,59.6667,28.35
Novorossiysk (Black Sea),Russia,RUS,44.7239,37.7683
Vostochny (Far East),Russia,RUS,42.75,133.0833
Dhamra,India,DHA,20.7833,86.9167
Gangavaram,India,GAN,17.6167,83.2333
Gopalpur,India,GOP,19.2667,84.9167
Haldia,India,HAL,22.0333,88.0667
Paradip,India,PAR,20.3167,86.6167
Vizag,India,VIZ,17.6868,83.2185
