date,port_or_region,fuel_type,price,currency
2020-01-01,Gladstone,IFO380,448.32,USD
2020-01-01,Gladstone,VLSFO,652.97,USD
2020-01-01,Gladstone,MGO,960.82,USD
2020-01-01,Newcastle,IFO380,478.5,USD
2020-01-01,Newcastle,VLSFO,667.85,USD
2020-01-01,Newcastle,MGO,961.91,USD
2020-01-01,Hay Point,IFO380,468.28,USD
2020-01-01,Hay Point,VLSFO,666.07,USD
2020-01-01,Hay Point,MGO,984.94,USD
2020-01-01,Dalrymple Bay,IFO380,477.59,USD
2020-01-01,Dalrymple Bay,VLSFO,683.43,USD
2020-01-01,Dalrymple Bay,MGO,986.58,USD
2020-01-01,Taboneo,IFO380,428.57,USD
2020-01-01,Taboneo,VLSFO,619.26,USD
2020-01-01,Taboneo,MGO,891.59,USD
2020-01-01,Muara Pantai,IFO380,434.81,USD
2020-01-01,Muara Pantai,VLSFO,608.4,USD
2020-01-01,Muara Pantai,MGO,883.22,USD
2020-01-01,Samarinda,IFO380,436.49,USD
2020-01-01,Samarinda,VLSFO,597.03,USD
2020-01-01,Samarinda,MGO,871.63,USD
2020-01-01,Hampton Roads,IFO380,419.81,USD
2020-01-01,Hampton Roads,VLSFO,601.91,USD
2020-01-01,Hampton Roads,MGO,880.43,USD
2020-01-01,Baltimore,IFO380,430.42,USD
2020-01-01,Baltimore,VLSFO,606.58,USD
2020-01-01,Baltimore,MGO,889.03,USD
2020-01-01,New Orleans,IFO380,397.81,USD
2020-01-01,New Orleans,VLSFO,570.87,USD
2020-01-01,New Orleans,MGO,835.5,USD
2020-01-01,Beira,IFO380,493.37,USD
2020-01-01,Beira,VLSFO,711.74,USD
2020-01-01,Beira,MGO,1025.69,USD
2020-01-01,Nacala,IFO380,500.26,USD
2020-01-01,Nacala,VLSFO,714.61,USD
2020-01-01,Nacala,MGO,1033.45,USD
2020-01-01,Baltic,IFO380,457.69,USD
2020-01-01,Baltic,VLSFO,637.72,USD
2020-01-01,Baltic,MGO,938.48,USD
2020-01-01,Black Sea,IFO380,446.59,USD
2020-01-01,Black Sea,VLSFO,635.91,USD
2020-01-01,Black Sea,MGO,932.22,USD
2020-01-01,Far East,IFO380,443.19,USD
2020-01-01,Far East,VLSFO,623.29,USD
2020-01-01,Far East,MGO,900.52,USD
2020-01-31,Gladstone,IFO380,400.67,USD
2020-01-31,Gladstone,VLSFO,567.83,USD
2020-01-31,Gladstone,MGO,817.96,USD
2020-01-31,Newcastle,IFO380,405.34,USD
2020-01-31,Newcastle,VLSFO,575.98,USD
2020-01-31,Newcastle,MGO,839.99,USD
2020-01-31,Hay Point,IFO380,400.9,USD
2020-01-31,Hay Point,VLSFO,567.47,USD
2020-01-31,Hay Point,MGO,832.85,USD
2020-01-31,Dalrymple Bay,IFO380,409.56,USD
2020-01-31,Dalrymple Bay,VLSFO,590.18,USD
2020-01-31,Dalrymple Bay,MGO,845.29,USD
2020-01-31,Taboneo,IFO380,377.38,USD
2020-01-31,Taboneo,VLSFO,535.38,USD
2020-01-31,Taboneo,MGO,787.13,USD
2020-01-31,Muara Pantai,IFO380,396.02,USD
2020-01-31,Muara Pantai,VLSFO,544.01,USD
2020-01-31,Muara Pantai,MGO,791.17,USD
2020-01-31,Samarinda,IFO380,375.36,USD
2020-01-31,Samarinda,VLSFO,549.79,USD
2020-01-31,Samarinda,MGO,778.44,USD
2020-01-31,Hampton Roads,IFO380,355.55,USD
2020-01-31,Hampton Roads,VLSFO,508.0,USD
2020-01-31,Hampton Roads,MGO,744.63,USD
2020-01-31,Baltimore,IFO380,360.48,USD
2020-01-31,Baltimore,VLSFO,514.48,USD
2020-01-31,Baltimore,MGO,748.99,USD
2020-01-31,New Orleans,IFO380,363.35,USD
2020-01-31,New Orleans,VLSFO,513.69,USD
2020-01-31,New Orleans,MGO,745.29,USD
2020-01-31,Beira,IFO380,426.66,USD
2020-01-31,Beira,VLSFO,613.37,USD
2020-01-31,Beira,MGO,902.14,USD
2020-01-31,Nacala,IFO380,426.42,USD
2020-01-31,Nacala,VLSFO,615.69,USD
2020-01-31,Nacala,MGO,889.37,USD
2020-01-31,Baltic,IFO380,389.68,USD
2020-01-31,Baltic,VLSFO,563.29,USD
2020-01-31,Baltic,MGO,825.35,USD
2020-01-31,Black Sea,IFO380,383.99,USD
2020-01-31,Black Sea,VLSFO,554.15,USD
2020-01-31,Black Sea,MGO,799.53,USD
2020-01-31,Far East,IFO380,379.69,USD
2020-01-31,Far East,VLSFO,543.82,USD
2020-01-31,Far East,MGO,792.27,USD
2020-03-01,Gladstone,IFO380,336.9,USD
2020-03-01,Gladstone,VLSFO,488.55,USD
2020-03-01,Gladstone,MGO,709.39,USD
2020-03-01,Newcastle,IFO380,346.72,USD
2020-03-01,Newcastle,VLSFO,495.9,USD
2020-03-01,Newcastle,MGO,716.69,USD
2020-03-01,Hay Point,IFO380,364.61,USD
2020-03-01,Hay Point,VLSFO,524.26,USD
2020-03-01,Hay Point,MGO,753.54,USD
2020-03-01,Dalrymple Bay,IFO380,358.13,USD
2020-03-01,Dalrymple Bay,VLSFO,509.27,USD
2020-03-01,Dalrymple Bay,MGO,732.47,USD
2020-03-01,Taboneo,IFO380,339.22,USD
2020-03-01,Taboneo,VLSFO,484.92,USD
2020-03-01,Taboneo,MGO,690.27,USD
2020-03-01,Muara Pantai,IFO380,327.07,USD
2020-03-01,Muara Pantai,VLSFO,470.57,USD
2020-03-01,Muara Pantai,MGO,675.85,USD
2020-03-01,Samarinda,IFO380,320.91,USD
2020-03-01,Samarinda,VLSFO,468.72,USD
2020-03-01,Samarinda,MGO,681.38,USD
2020-03-01,Hampton Roads,IFO380,313.87,USD
2020-03-01,Hampton Roads,VLSFO,449.16,USD
2020-03-01,Hampton Roads,MGO,660.92,USD
2020-03-01,Baltimore,IFO380,320.6,USD
2020-03-01,Baltimore,VLSFO,455.48,USD
2020-03-01,Baltimore,MGO,654.3,USD
2020-03-01,New Orleans,IFO380,297.87,USD
2020-03-01,New Orleans,VLSFO,440.08,USD
2020-03-01,New Orleans,MGO,648.2,USD
2020-03-01,Beira,IFO380,363.81,USD
2020-03-01,Beira,VLSFO,538.3,USD
2020-03-01,Beira,MGO,767.12,USD
2020-03-01,Nacala,IFO380,388.44,USD
2020-03-01,Nacala,VLSFO,549.97,USD
2020-03-01,Nacala,MGO,800.85,USD
2020-03-01,Baltic,IFO380,356.38,USD
2020-03-01,Baltic,VLSFO,507.46,USD
2020-03-01,Baltic,MGO,737.27,USD
2020-03-01,Black Sea,IFO380,339.08,USD
2020-03-01,Black Sea,VLSFO,491.51,USD
2020-03-01,Black Sea,MGO,717.89,USD
2020-03-01,Far East,IFO380,341.4,USD
2020-03-01,Far East,VLSFO,480.83,USD
2020-03-01,Far East,MGO,681.65,USD
2020-03-31,Gladstone,IFO380,258.68,USD
2020-03-31,Gladstone,VLSFO,351.92,USD
2020-03-31,Gladstone,MGO,518.6,USD
2020-03-31,Newcastle,IFO380,241.27,USD
2020-03-31,Newcastle,VLSFO,351.02,USD
2020-03-31,Newcastle,MGO,506.92,USD
2020-03-31,Hay Point,IFO380,243.9,USD
2020-03-31,Hay Point,VLSFO,347.88,USD
2020-03-31,Hay Point,MGO,506.47,USD
2020-03-31,Dalrymple Bay,IFO380,245.7,USD
2020-03-31,Dalrymple Bay,VLSFO,353.01,USD
2020-03-31,Dalrymple Bay,MGO,512.78,USD
2020-03-31,Taboneo,IFO380,227.34,USD
2020-03-31,Taboneo,VLSFO,337.84,USD
2020-03-31,Taboneo,MGO,476.65,USD
2020-03-31,Muara Pantai,IFO380,236.66,USD
2020-03-31,Muara Pantai,VLSFO,338.36,USD
2020-03-31,Muara Pantai,MGO,490.07,USD
2020-03-31,Samarinda,IFO380,230.85,USD
2020-03-31,Samarinda,VLSFO,325.31,USD
2020-03-31,Samarinda,MGO,478.07,USD
2020-03-31,Hampton Roads,IFO380,226.4,USD
2020-03-31,Hampton Roads,VLSFO,327.53,USD
2020-03-31,Hampton Roads,MGO,452.44,USD
2020-03-31,Baltimore,IFO380,220.94,USD
2020-03-31,Baltimore,VLSFO,322.26,USD
2020-03-31,Baltimore,MGO,476.21,USD
2020-03-31,New Orleans,IFO380,206.33,USD
2020-03-31,New Orleans,VLSFO,300.0,USD
2020-03-31,New Orleans,MGO,442.08,USD
2020-03-31,Beira,IFO380,269.44,USD
2020-03-31,Beira,VLSFO,393.59,USD
2020-03-31,Beira,MGO,565.42,USD
2020-03-31,Nacala,IFO380,276.0,USD
2020-03-31,Nacala,VLSFO,395.95,USD
2020-03-31,Nacala,MGO,571.06,USD
2020-03-31,Baltic,IFO380,236.09,USD
2020-03-31,Baltic,VLSFO,345.89,USD
2020-03-31,Baltic,MGO,494.43,USD
2020-03-31,Black Sea,IFO380,236.6,USD
2020-03-31,Black Sea,VLSFO,341.41,USD
2020-03-31,Black Sea,MGO,496.22,USD
2020-03-31,Far East,IFO380,231.27,USD
2020-03-31,Far East,VLSFO,333.72,USD
2020-03-31,Far East,MGO,476.77,USD
2020-04-30,Gladstone,IFO380,182.93,USD
2020-04-30,Gladstone,VLSFO,256.18,USD
2020-04-30,Gladstone,MGO,381.06,USD
2020-04-30,Newcastle,IFO380,179.54,USD
2020-04-30,Newcastle,VLSFO,244.58,USD
2020-04-30,Newcastle,MGO,364.71,USD
2020-04-30,Hay Point,IFO380,194.3,USD
2020-04-30,Hay Point,VLSFO,275.43,USD
2020-04-30,Hay Point,MGO,394.19,USD
2020-04-30,Dalrymple Bay,IFO380,183.48,USD
2020-04-30,Dalrymple Bay,VLSFO,264.27,USD
2020-04-30,Dalrymple Bay,MGO,378.98,USD
2020-04-30,Taboneo,IFO380,166.87,USD
2020-04-30,Taboneo,VLSFO,226.29,USD
2020-04-30,Taboneo,MGO,343.13,USD
2020-04-30,Muara Pantai,IFO380,172.55,USD
2020-04-30,Muara Pantai,VLSFO,237.88,USD
2020-04-30,Muara Pantai,MGO,355.78,USD
2020-04-30,Samarinda,IFO380,155.67,USD
2020-04-30,Samarinda,VLSFO,227.13,USD
2020-04-30,Samarinda,MGO,320.28,USD
2020-04-30,Hampton Roads,IFO380,161.77,USD
2020-04-30,Hampton Roads,VLSFO,231.93,USD
2020-04-30,Hampton Roads,MGO,327.56,USD
2020-04-30,Baltimore,IFO380,165.14,USD
2020-04-30,Baltimore,VLSFO,231.26,USD
2020-04-30,Baltimore,MGO,318.02,USD
2020-04-30,New Orleans,IFO380,164.06,USD
2020-04-30,New Orleans,VLSFO,224.41,USD
2020-04-30,New Orleans,MGO,335.36,USD
2020-04-30,Beira,IFO380,187.24,USD
2020-04-30,Beira,VLSFO,265.31,USD
2020-04-30,Beira,MGO,399.88,USD
2020-04-30,Nacala,IFO380,170.17,USD
2020-04-30,Nacala,VLSFO,260.69,USD
2020-04-30,Nacala,MGO,381.74,USD
2020-04-30,Baltic,IFO380,173.81,USD
2020-04-30,Baltic,VLSFO,234.23,USD
2020-04-30,Baltic,MGO,342.29,USD
2020-04-30,Black Sea,IFO380,175.33,USD
2020-04-30,Black Sea,VLSFO,240.65,USD
2020-04-30,Black Sea,MGO,346.25,USD
2020-04-30,Far East,IFO380,163.8,USD
2020-04-30,Far East,VLSFO,229.28,USD
2020-04-30,Far East,MGO,337.77,USD
2020-05-30,Gladstone,IFO380,179.75,USD
2020-05-30,Gladstone,VLSFO,251.38,USD
2020-05-30,Gladstone,MGO,363.21,USD
2020-05-30,Newcastle,IFO380,180.6,USD
2020-05-30,Newcastle,VLSFO,256.88,USD
2020-05-30,Newcastle,MGO,362.11,USD
2020-05-30,Hay Point,IFO380,182.7,USD
2020-05-30,Hay Point,VLSFO,263.98,USD
2020-05-30,Hay Point,MGO,381.68,USD
2020-05-30,Dalrymple Bay,IFO380,182.04,USD
2020-05-30,Dalrymple Bay,VLSFO,263.05,USD
2020-05-30,Dalrymple Bay,MGO,375.87,USD
2020-05-30,Taboneo,IFO380,169.17,USD
2020-05-30,Taboneo,VLSFO,244.8,USD
2020-05-30,Taboneo,MGO,344.98,USD
2020-05-30,Muara Pantai,IFO380,164.88,USD
2020-05-30,Muara Pantai,VLSFO,232.25,USD
2020-05-30,Muara Pantai,MGO,349.79,USD
2020-05-30,Samarinda,IFO380,170.27,USD
2020-05-30,Samarinda,VLSFO,244.74,USD
