date,route_id,freight_usd_mt
2020-01-01,AUS_PAR_PAN,18.86
2020-01-01,AUS_PAR_CAP,16.53
2020-01-01,AUS_VIZ_PAN,15.26
2020-01-01,AUS_VIZ_CAP,14.33
2020-01-01,AUS_DHA_PAN,17.61
2020-01-01,AUS_DHA_CAP,16.66
2020-01-01,AUS_GAN_PAN,17.34
2020-01-01,AUS_GAN_CAP,16.54
2020-01-01,AUS_GOP_PAN,14.36
2020-01-01,AUS_GOP_CAP,15.19
2020-01-01,AUS_HAL_PAN,19.19
2020-01-01,AUS_HAL_CAP,18.99
2020-01-01,IND_PAR_PAN,10.99
2020-01-01,IND_PAR_CAP,12.56
2020-01-01,IND_VIZ_PAN,10.48
2020-01-01,IND_VIZ_CAP,11.74
2020-01-01,IND_DHA_PAN,9.95
2020-01-01,IND_DHA_CAP,10.31
2020-01-01,IND_GAN_PAN,11.58
2020-01-01,IND_GAN_CAP,12.47
2020-01-01,IND_GOP_PAN,10.47
2020-01-01,IND_GOP_CAP,9.11
2020-01-01,IND_HAL_PAN,11.69
2020-01-01,IND_HAL_CAP,11.05
2020-01-01,RUS_PAR_PAN,19.77
2020-01-01,RUS_PAR_CAP,22.07
2020-01-01,RUS_VIZ_PAN,20.72
2020-01-01,RUS_VIZ_CAP,21.09
2020-01-01,RUS_DHA_PAN,21.82
2020-01-01,RUS_DHA_CAP,21.34
2020-01-01,RUS_GAN_PAN,22.92
2020-01-01,RUS_GAN_CAP,23.43
2020-01-01,RUS_GOP_PAN,20.86
2020-01-01,RUS_GOP_CAP,24.3
2020-01-01,RUS_HAL_PAN,22.03
2020-01-01,RUS_HAL_CAP,19.77
2020-01-01,MOZ_PAR_PAN,19.48
2020-01-01,MOZ_PAR_CAP,19.55
2020-01-01,MOZ_VIZ_PAN,20.57
2020-01-01,MOZ_VIZ_CAP,18.9
2020-01-01,MOZ_DHA_PAN,21.05
2020-01-01,MOZ_DHA_CAP,20.54
2020-01-01,MOZ_GAN_PAN,22.14
2020-01-01,MOZ_GAN_CAP,20.01
2020-01-01,MOZ_GOP_PAN,21.53
2020-01-01,MOZ_GOP_CAP,21.92
2020-01-01,MOZ_HAL_PAN,21.81
2020-01-01,MOZ_HAL_CAP,19.82
2020-01-01,USA_PAR_PAN,29.61
2020-01-01,USA_PAR_CAP,30.73
2020-01-01,USA_VIZ_PAN,36.9
2020-01-01,USA_VIZ_CAP,33.34
2020-01-01,USA_DHA_PAN,36.84
2020-01-01,USA_DHA_CAP,34.62
2020-01-01,USA_GAN_PAN,32.19
2020-01-01,USA_GAN_CAP,30.41
2020-01-01,USA_GOP_PAN,29.28
2020-01-01,USA_GOP_CAP,30.48
2020-01-01,USA_HAL_PAN,36.86
2020-01-01,USA_HAL_CAP,31.57
2020-01-31,AUS_PAR_PAN,18.71
2020-01-31,AUS_PAR_CAP,16.79
2020-01-31,AUS_VIZ_PAN,16.49
2020-01-31,AUS_VIZ_CAP,18.21
2020-01-31,AUS_DHA_PAN,15.43
2020-01-31,AUS_DHA_CAP,16.24
2020-01-31,AUS_GAN_PAN,16.55
2020-01-31,AUS_GAN_CAP,14.4
2020-01-31,AUS_GOP_PAN,13.92
2020-01-31,AUS_GOP_CAP,17.42
2020-01-31,AUS_HAL_PAN,18.26
2020-01-31,AUS_HAL_CAP,14.07
2020-01-31,IND_PAR_PAN,8.63
2020-01-31,IND_PAR_CAP,10.29
2020-01-31,IND_VIZ_PAN,11.64
2020-01-31,IND_VIZ_CAP,10.32
2020-01-31,IND_DHA_PAN,10.16
2020-01-31,IND_DHA_CAP,10.83
2020-01-31,IND_GAN_PAN,11.05
2020-01-31,IND_GAN_CAP,11.55
2020-01-31,IND_GOP_PAN,10.1
2020-01-31,IND_GOP_CAP,8.5
2020-01-31,IND_HAL_PAN,11.29
2020-01-31,IND_HAL_CAP,9.94
2020-01-31,RUS_PAR_PAN,22.45
2020-01-31,RUS_PAR_CAP,25.5
2020-01-31,RUS_VIZ_PAN,23.7
2020-01-31,RUS_VIZ_CAP,25.09
2020-01-31,RUS_DHA_PAN,22.52
2020-01-31,RUS_DHA_CAP,23.68
2020-01-31,RUS_GAN_PAN,21.48
2020-01-31,RUS_GAN_CAP,20.57
2020-01-31,RUS_GOP_PAN,21.57
2020-01-31,RUS_GOP_CAP,19.34
2020-01-31,RUS_HAL_PAN,22.63
2020-01-31,RUS_HAL_CAP,22.92
2020-01-31,MOZ_PAR_PAN,23.79
2020-01-31,MOZ_PAR_CAP,19.69
2020-01-31,MOZ_VIZ_PAN,20.88
2020-01-31,MOZ_VIZ_CAP,19.54
2020-01-31,MOZ_DHA_PAN,18.37
2020-01-31,MOZ_DHA_CAP,18.76
2020-01-31,MOZ_GAN_PAN,22.34
2020-01-31,MOZ_GAN_CAP,21.82
2020-01-31,MOZ_GOP_PAN,21.17
2020-01-31,MOZ_GOP_CAP,21.98
2020-01-31,MOZ_HAL_PAN,19.39
2020-01-31,MOZ_HAL_CAP,20.2
2020-01-31,USA_PAR_PAN,32.6
2020-01-31,USA_PAR_CAP,30.07
2020-01-31,USA_VIZ_PAN,34.59
2020-01-31,USA_VIZ_CAP,31.38
2020-01-31,USA_DHA_PAN,35.84
2020-01-31,USA_DHA_CAP,29.91
2020-01-31,USA_GAN_PAN,29.46
2020-01-31,USA_GAN_CAP,36.68
2020-01-31,USA_GOP_PAN,33.22
2020-01-31,USA_GOP_CAP,32.59
2020-01-31,USA_HAL_PAN,31.7
2020-01-31,USA_HAL_CAP,33.37
2020-03-01,AUS_PAR_PAN,16.94
2020-03-01,AUS_PAR_CAP,16.91
2020-03-01,AUS_VIZ_PAN,16.11
2020-03-01,AUS_VIZ_CAP,14.83
2020-03-01,AUS_DHA_PAN,15.5
2020-03-01,AUS_DHA_CAP,14.18
2020-03-01,AUS_GAN_PAN,18.01
2020-03-01,AUS_GAN_CAP,15.12
2020-03-01,AUS_GOP_PAN,17.0
2020-03-01,AUS_GOP_CAP,17.34
2020-03-01,AUS_HAL_PAN,17.34
2020-03-01,AUS_HAL_CAP,17.91
2020-03-01,IND_PAR_PAN,12.07
2020-03-01,IND_PAR_CAP,12.04
2020-03-01,IND_VIZ_PAN,10.7
2020-03-01,IND_VIZ_CAP,10.68
2020-03-01,IND_DHA_PAN,11.89
2020-03-01,IND_DHA_CAP,10.49
2020-03-01,IND_GAN_PAN,9.78
2020-03-01,IND_GAN_CAP,11.08
2020-03-01,IND_GOP_PAN,11.21
2020-03-01,IND_GOP_CAP,9.13
2020-03-01,IND_HAL_PAN,8.74
2020-03-01,IND_HAL_CAP,12.37
2020-03-01,RUS_PAR_PAN,23.37
2020-03-01,RUS_PAR_CAP,22.85
2020-03-01,RUS_VIZ_PAN,20.18
2020-03-01,RUS_VIZ_CAP,23.87
2020-03-01,RUS_DHA_PAN,20.8
2020-03-01,RUS_DHA_CAP,25.28
2020-03-01,RUS_GAN_PAN,21.92
2020-03-01,RUS_GAN_CAP,24.0
2020-03-01,RUS_GOP_PAN,23.88
2020-03-01,RUS_GOP_CAP,23.21
2020-03-01,RUS_HAL_PAN,21.55
2020-03-01,RUS_HAL_CAP,21.25
2020-03-01,MOZ_PAR_PAN,20.69
2020-03-01,MOZ_PAR_CAP,21.8
2020-03-01,MOZ_VIZ_PAN,20.04
2020-03-01,MOZ_VIZ_CAP,19.01
2020-03-01,MOZ_DHA_PAN,22.14
2020-03-01,MOZ_DHA_CAP,18.52
2020-03-01,MOZ_GAN_PAN,19.48
2020-03-01,MOZ_GAN_CAP,18.73
2020-03-01,MOZ_GOP_PAN,20.04
2020-03-01,MOZ_GOP_CAP,21.33
2020-03-01,MOZ_HAL_PAN,23.07
2020-03-01,MOZ_HAL_CAP,20.45
2020-03-01,USA_PAR_PAN,28.82
2020-03-01,USA_PAR_CAP,33.78
2020-03-01,USA_VIZ_PAN,35.06
2020-03-01,USA_VIZ_CAP,34.84
2020-03-01,USA_DHA_PAN,37.42
2020-03-01,USA_DHA_CAP,31.6
2020-03-01,USA_GAN_PAN,32.92
2020-03-01,USA_GAN_CAP,36.18
2020-03-01,USA_GOP_PAN,33.5
2020-03-01,USA_GOP_CAP,35.59
2020-03-01,USA_HAL_PAN,35.81
2020-03-01,USA_HAL_CAP,29.04
2020-03-31,AUS_PAR_PAN,17.1
2020-03-31,AUS_PAR_CAP,17.28
2020-03-31,AUS_VIZ_PAN,16.37
2020-03-31,AUS_VIZ_CAP,15.04
2020-03-31,AUS_DHA_PAN,18.38
2020-03-31,AUS_DHA_CAP,15.9
2020-03-31,AUS_GAN_PAN,17.69
2020-03-31,AUS_GAN_CAP,14.93
2020-03-31,AUS_GOP_PAN,14.72
2020-03-31,AUS_GOP_CAP,19.58
2020-03-31,AUS_HAL_PAN,16.7
2020-03-31,AUS_HAL_CAP,16.49
2020-03-31,IND_PAR_PAN,12.19
2020-03-31,IND_PAR_CAP,9.88
2020-03-31,IND_VIZ_PAN,10.3
2020-03-31,IND_VIZ_CAP,9.86
2020-03-31,IND_DHA_PAN,11.44
2020-03-31,IND_DHA_CAP,12.51
2020-03-31,IND_GAN_PAN,11.37
2020-03-31,IND_GAN_CAP,9.83
2020-03-31,IND_GOP_PAN,9.71
2020-03-31,IND_GOP_CAP,9.75
2020-03-31,IND_HAL_PAN,10.54
2020-03-31,IND_HAL_CAP,8.38
2020-03-31,RUS_PAR_PAN,22.44
2020-03-31,RUS_PAR_CAP,21.81
2020-03-31,RUS_VIZ_PAN,21.29
2020-03-31,RUS_VIZ_CAP,20.43
2020-03-31,RUS_DHA_PAN,22.27
2020-03-31,RUS_DHA_CAP,25.26
2020-03-31,RUS_GAN_PAN,23.38
2020-03-31,RUS_GAN_CAP,21.52
2020-03-31,RUS_GOP_PAN,23.16
2020-03-31,RUS_GOP_CAP,18.19
2020-03-31,RUS_HAL_PAN,22.5
2020-03-31,RUS_HAL_CAP,24.0
2020-03-31,MOZ_PAR_PAN,21.11
2020-03-31,MOZ_PAR_CAP,19.56
2020-03-31,MOZ_VIZ_PAN,19.11
2020-03-31,MOZ_VIZ_CAP,20.97
2020-03-31,MOZ_DHA_PAN,20.14
2020-03-31,MOZ_DHA_CAP,19.69
2020-03-31,MOZ_GAN_PAN,20.73
2020-03-31,MOZ_GAN_CAP,20.47
2020-03-31,MOZ_GOP_PAN,19.45
2020-03-31,MOZ_GOP_CAP,20.1
2020-03-31,MOZ_HAL_PAN,19.59
2020-03-31,MOZ_HAL_CAP,18.24
2020-03-31,USA_PAR_PAN,31.26
2020-03-31,USA_PAR_CAP,37.66
2020-03-31,USA_VIZ_PAN,30.07
2020-03-31,USA_VIZ_CAP,29.83
2020-03-31,USA_DHA_PAN,31.45
2020-03-31,USA_DHA_CAP,34.51
2020-03-31,USA_GAN_PAN,33.67
2020-03-31,USA_GAN_CAP,31.66
2020-03-31,USA_GOP_PAN,30.79
2020-03-31,USA_GOP_CAP,33.77
2020-03-31,USA_HAL_PAN,33.77
2020-03-31,USA_HAL_CAP,35.57
2020-04-30,AUS_PAR_PAN,17.84
2020-04-30,AUS_PAR_CAP,15.65
2020-04-30,AUS_VIZ_PAN,15.3
2020-04-30,AUS_VIZ_CAP,15.29
2020-04-30,AUS_DHA_PAN,18.74
2020-04-30,AUS_DHA_CAP,16.78
2020-04-30,AUS_GAN_PAN,16.16
2020-04-30,AUS_GAN_CAP,16.29
2020-04-30,AUS_GOP_PAN,16.65
2020-04-30,AUS_GOP_CAP,14.78
2020-04-30,AUS_HAL_PAN,16.42
2020-04-30,AUS_HAL_CAP,16.6
2020-04-30,IND_PAR_PAN,9.96
2020-04-30,IND_PAR_CAP,11.31
2020-04-30,IND_VIZ_PAN,11.82
2020-04-30,IND_VIZ_CAP,8.88
2020-04-30,IND_DHA_PAN,8.96
2020-04-30,IND_DHA_CAP,10.11
2020-04-30,IND_GAN_PAN,9.94
2020-04-30,IND_GAN_CAP,11.75
2020-04-30,IND_GOP_PAN,10.89
2020-04-30,IND_GOP_CAP,10.51
2020-04-30,IND_HAL_PAN,9.55
2020-04-30,IND_HAL_CAP,12.42
2020-04-30,RUS_PAR_PAN,23.05
2020-04-30,RUS_PAR_CAP,20.83
2020-04-30,RUS_VIZ_PAN,24.61
2020-04-30,RUS_VIZ_CAP,20.14
2020-04-30,RUS_DHA_PAN,22.01
2020-04-30,RUS_DHA_CAP,19.37
2020-04-30,RUS_GAN_PAN,24.09
2020-04-30,RUS_GAN_CAP,20.4
2020-04-30,RUS_GOP_PAN,27.17
2020-04-30,RUS_GOP_CAP,22.84
2020-04-30,RUS_HAL_PAN,22.55
2020-04-30,RUS_HAL_CAP,20.81
2020-04-30,MOZ_PAR_PAN,23.56
2020-04-30,MOZ_PAR_CAP,19.3
2020-04-30,MOZ_VIZ_PAN,23.51
2020-04-30,MOZ_VIZ_CAP,18.46
2020-04-30,MOZ_DHA_PAN,21.46
2020-04-30,MOZ_DHA_CAP,23.99
2020-04-30,MOZ_GAN_PAN,18.31
2020-04-30,MOZ_GAN_CAP,19.4
2020-04-30,MOZ_GOP_PAN,22.4
2020-04-30,MOZ_GOP_CAP,19.22
2020-04-30,MOZ_HAL_PAN,17.78
2020-04-30,MOZ_HAL_CAP,20.86
2020-04-30,USA_PAR_PAN,31.12
2020-04-30,USA_PAR_CAP,35.32
2020-04-30,USA_VIZ_PAN,30.12
2020-04-30,USA_VIZ_CAP,32.67
2020-04-30,USA_DHA_PAN,34.29
2020-04-30,USA_DHA_CAP,30.26
2020-04-30,USA_GAN_PAN,33.48
2020-04-30,USA_GAN_CAP,29.29
2020-04-30,USA_GOP_PAN,32.18
2020-04-30,USA_GOP_CAP,32.76
2020-04-30,USA_HAL_PAN,33.95
2020-04-30,USA_HAL_CAP,29.14
2020-05-30,AUS_PAR_PAN,16.81
2020-05-30,AUS_PAR_CAP,16.92
2020-05-30,AUS_VIZ_PAN,16.43
2020-05-30,AUS_VIZ_CAP,18.93
2020-05-30,AUS_DHA_PAN,15.3
2020-05-30,AUS_DHA_CAP,17.54
2020-05-30,AUS_GAN_PAN,16.52
2020-05-30,AUS_GAN_CAP,17.94
2020-05-30,AUS_GOP_PAN,17.46
2020-05-30,AUS_GOP_CAP,14.79
2020-05-30,AUS_HAL_PAN,16.59
2020-05-30,AUS_HAL_CAP,14.6
2020-05-30,IND_PAR_PAN,11.9
2020-05-30,IND_PAR_CAP,11.66
2020-05-30,IND_VIZ_PAN,10.4
2020-05-30,IND_VIZ_CAP,9.14
2020-05-30,IND_DHA_PAN,10.22
2020-05-30,IND_DHA_CAP,9.5
2020-05-30,IND_GAN_PAN,8.31
2020-05-30,IND_GAN_CAP,8.54
2020-05-30,IND_GOP_PAN,11.5
2020-05-30,IND_GOP_CAP,11.9
2020-05-30,IND_HAL_PAN,8.58
2020-05-30,IND_HAL_CAP,9.91
2020-05-30,RUS_PAR_PAN,19.09
2020-05-30,RUS_PAR_CAP,21.72
2020-05-30,RUS_VIZ_PAN,25.48
2020-05-30,RUS_VIZ_CAP,19.56
2020-05-30,RUS_DHA_PAN,26.31
2020-05-30,RUS_DHA_CAP,22.93
2020-05-30,RUS_GAN_PAN,22.35
2020-05-30,RUS_GAN_CAP,21.54
2020-05-30,RUS_GOP_PAN,20.24
2020-05-30,RUS_GOP_CAP,20.43
2020-05-30,RUS_HAL_PAN,18.44
2020-05-30,RUS_HAL_CAP,19.76
2020-05-30,MOZ_PAR_PAN,20.04
2020-05-30,MOZ_PAR_CAP,20.45
2020-05-30,MOZ_VIZ_PAN,22.02
2020-05-30,MOZ_VIZ_CAP,20.4
2020-05-30,MOZ_DHA_PAN,20.29
2020-05-30,MOZ_DHA_CAP,21.6
2020-05-30,MOZ_GAN_PAN,22.87
2020-05-30,MOZ_GAN_CAP,21.46
2020-05-30,MOZ_GOP_PAN,21.12
2020-05-30,MOZ_GOP_CAP,20.65
2020-05-30,MOZ_HAL_PAN,22.45
2020-05-30,MOZ_HAL_CAP,20.69
2020-05-30,USA_PAR_PAN,32.66
2020-05-30,USA_PAR_CAP,30.01
2020-05-30,USA_VIZ_PAN,32.82
2020-05-30,USA_VIZ_CAP,33.5
2020-05-30,USA_DHA_PAN,34.83
2020-05-30,USA_DHA_CAP,28.67
2020-05-30,USA_GAN_PAN,35.67
2020-05-30,USA_GAN_CAP,31.28
2020-05-30,USA_GOP_PAN,30.51
2020-05-30,USA_GOP_CAP,36.16
2020-05-30,USA_HAL_PAN,37.2
2020-05-30,USA_HAL_CAP,36.09
2020-06-29,AUS_PAR_PAN,14.92
2020-06-29,AUS_PAR_CAP,15.96
2020-06-29,AUS_VIZ_PAN,17.07
2020-06-29,AUS_VIZ_CAP,18.93
2020-06-29,AUS_DHA_PAN,16.28
2020-06-29,AUS_DHA_CAP,15.84
2020-06-29,AUS_GAN_PAN,17.34
2020-06-29,AUS_GAN_CAP,14.96
2020-06-29,AUS_GOP_PAN,15.24
2020-06-29,AUS_GOP_CAP,17.35
2020-06-29,AUS_HAL_PAN,14.19
2020-06-29,AUS_HAL_CAP,14.23
2020-06-29,IND_PAR_PAN,8.57
2020-06-29,IND_PAR_CAP,11.21
2020-06-29,IND_VIZ_PAN,10.29
2020-06-29,IND_VIZ_CAP,10.63
2020-06-29,IND_DHA_PAN,10.92
2020-06-29,IND_DHA_CAP,10.76
2020-06-29,IND_GAN_PAN,10.33
2020-06-29,IND_GAN_CAP,9.3
2020-06-29,IND_GOP_PAN,11.56
2020-06-29,IND_GOP_CAP,11.12
2020-06-29,IND_HAL_PAN,8.75
2020-06-29,IND_HAL_CAP,10.02
2020-06-29,RUS_PAR_PAN,23.09
2020-06-29,RUS_PAR_CAP,21.15
2020-06-29,RUS_VIZ_PAN,22.4
2020-06-29,RUS_VIZ_CAP,22.58
2020-06-29,RUS_DHA_PAN,21.53
2020-06-29,RUS_DHA_CAP,19.61
2020-06-29,RUS_GAN_PAN,19.65
2020-06-29,RUS_GAN_CAP,23.3
2020-06-29,RUS_GOP_PAN,23.57
2020-06-29,RUS_GOP_CAP,19.1
2020-06-29,RUS_HAL_PAN,26.78
