tender_id,tender_date,broker_id,origin,destination_port,cargo_type,vessel_class,route_id,quantity_mt,quoted_freight_usd_mt,contract_duration_days,market_freight_usd_mt,predicted_fair_value_usd_mt,fair_value_lower_usd_mt,fair_value_upper_usd_mt,bunker_price_usd_mt,congestion_index,predicted_waiting_hours,broker_historical_bid_count,broker_historical_premium_pct,vessel_historical_bid_count,broker_vessel_historical_frequency,synthetic_anomaly_ground_truth,bid_rank,winner,bid_deviation_pct,bid_spread_pct,fair_value_band_breach,high_positive_deviation_flag
TND-2023-0001,2023-03-31,BRK-ALLIANCE,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,147929.0,16.36,28,17.21,17.14,15.77,18.51,616.4,0.8,83.5,57,0.44,40,6,0,1,1,-4.55,12.41,0,0
TND-2023-0001,2023-03-31,BRK-AEGEAN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,154623.0,16.56,18,17.21,17.14,15.77,18.51,616.4,0.8,83.5,15,4.89,26,7,0,2,0,-3.38,12.41,0,0
TND-2023-0001,2023-03-31,BRK-OCEANIC,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,158104.0,16.8,39,17.21,17.14,15.77,18.51,616.4,0.8,83.5,49,3.73,35,3,0,3,0,-1.98,12.41,0,0
TND-2023-0001,2023-03-31,BRK-APEX,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,152300.0,16.96,43,17.21,17.14,15.77,18.51,616.4,0.8,83.5,62,7.92,35,6,0,4,0,-1.05,12.41,0,0
TND-2023-0001,2023-03-31,BRK-PACIFIC,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,151719.0,17.81,26,17.21,17.14,15.77,18.51,616.4,0.8,83.5,63,2.2,42,12,0,5,0,3.91,12.41,0,0
TND-2023-0001,2023-03-31,BRK-MARITIME,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148239.0,18.21,31,17.21,17.14,15.77,18.51,616.4,0.8,83.5,48,-1.08,24,2,0,6,0,6.24,12.41,0,0
TND-2023-0001,2023-03-31,BRK-NAVIGATOR,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,162296.0,18.39,24,17.21,17.14,15.77,18.51,616.4,0.8,83.5,29,0.95,33,10,0,7,0,7.29,12.41,0,0
TND-2023-0002,2024-09-28,BRK-PACIFIC,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,73530.0,15.18,31,16.76,16.24,14.94,17.54,693.8,0.48,46.3,50,3.26,33,2,0,1,1,-6.53,16.07,0,0
TND-2023-0002,2024-09-28,BRK-EASTERN,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,71907.0,15.41,25,16.76,16.24,14.94,17.54,693.8,0.48,46.3,26,1.26,18,9,0,2,0,-5.11,16.07,0,0
TND-2023-0002,2024-09-28,BRK-VANGUARD,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,74714.0,15.52,36,16.76,16.24,14.94,17.54,693.8,0.48,46.3,33,0.35,6,11,0,3,0,-4.43,16.07,0,0
TND-2023-0002,2024-09-28,BRK-TRITON,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,77355.0,15.54,26,16.76,16.24,14.94,17.54,693.8,0.48,46.3,45,3.38,40,6,0,4,0,-4.31,16.07,0,0
TND-2023-0002,2024-09-28,BRK-AEGEAN,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,77651.0,15.71,26,16.76,16.24,14.94,17.54,693.8,0.48,46.3,34,4.07,24,4,0,5,0,-3.26,16.07,0,0
TND-2023-0002,2024-09-28,BRK-ALLIANCE,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,74596.0,16.09,35,16.76,16.24,14.94,17.54,693.8,0.48,46.3,73,2.94,27,7,0,6,0,-0.92,16.07,0,0
TND-2023-0002,2024-09-28,BRK-SOUTHERN,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,76214.0,16.55,23,16.76,16.24,14.94,17.54,693.8,0.48,46.3,67,2.99,7,13,0,7,0,1.91,16.07,0,0
TND-2023-0002,2024-09-28,BRK-MERIDIAN,Gladstone,PAR,Coking Coal,Panamax,AUS_PAR_PAN,73244.0,17.62,35,16.76,16.24,14.94,17.54,693.8,0.48,46.3,33,2.7,48,7,0,8,0,8.5,16.07,1,0
TND-2023-0003,2023-09-21,BRK-NAVIGATOR,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,156409.0,17.97,24,19.72,19.25,17.71,20.79,599.5,0.56,32.3,30,0.33,46,7,0,1,1,-6.65,9.63,0,0
TND-2023-0003,2023-09-21,BRK-ALLIANCE,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,156358.0,18.43,17,19.72,19.25,17.71,20.79,599.5,0.56,32.3,23,2.57,19,10,0,2,0,-4.26,9.63,0,0
TND-2023-0003,2023-09-21,BRK-EASTERN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,148532.0,19.4,38,19.72,19.25,17.71,20.79,599.5,0.56,32.3,20,-1.55,48,7,0,3,0,0.78,9.63,0,0
TND-2023-0003,2023-09-21,BRK-GLOBAL,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,147895.0,19.42,26,19.72,19.25,17.71,20.79,599.5,0.56,32.3,16,-1.57,34,11,0,4,0,0.88,9.63,0,0
TND-2023-0003,2023-09-21,BRK-MERIDIAN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,156973.0,19.7,27,19.72,19.25,17.71,20.79,599.5,0.56,32.3,11,-0.09,39,10,0,5,0,2.34,9.63,0,0
TND-2023-0004,2024-11-02,BRK-HORIZON,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,68111.0,20.68,42,22.97,22.09,20.32,23.86,734.8,0.78,42.1,75,4.45,39,9,0,1,1,-6.38,15.33,0,0
TND-2023-0004,2024-11-02,BRK-EASTERN,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,72158.0,21.66,39,22.97,22.09,20.32,23.86,734.8,0.78,42.1,19,7.89,29,5,0,2,0,-1.95,15.33,0,0
TND-2023-0004,2024-11-02,BRK-PACIFIC,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,70132.0,21.66,41,22.97,22.09,20.32,23.86,734.8,0.78,42.1,16,1.98,38,4,0,3,0,-1.95,15.33,0,0
TND-2023-0004,2024-11-02,BRK-ALLIANCE,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,71116.0,23.11,22,22.97,22.09,20.32,23.86,734.8,0.78,42.1,32,0.04,9,2,0,4,0,4.62,15.33,0,0
TND-2023-0004,2024-11-02,BRK-TRITON,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,73447.0,23.7,27,22.97,22.09,20.32,23.86,734.8,0.78,42.1,22,0.14,12,5,0,5,0,7.29,15.33,0,0
TND-2023-0004,2024-11-02,BRK-APEX,Novorossiysk,HAL,Thermal Coal,Panamax,RUS_HAL_PAN,68292.0,23.85,29,22.97,22.09,20.32,23.86,734.8,0.78,42.1,24,2.65,47,9,0,6,0,7.97,15.33,0,0
TND-2023-0005,2023-01-23,BRK-EASTERN,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,150810.0,21.79,14,23.39,22.91,21.08,24.74,551.9,0.73,40.4,44,1.01,27,14,0,1,1,-4.89,14.13,0,0
TND-2023-0005,2023-01-23,BRK-APEX,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,158704.0,21.79,36,23.39,22.91,21.08,24.74,551.9,0.73,40.4,39,0.5,13,1,0,2,0,-4.89,14.13,0,0
TND-2023-0005,2023-01-23,BRK-TRITON,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,151915.0,23.1,26,23.39,22.91,21.08,24.74,551.9,0.73,40.4,40,2.97,10,2,0,3,0,0.83,14.13,0,0
TND-2023-0005,2023-01-23,BRK-NAVIGATOR,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,158011.0,23.44,29,23.39,22.91,21.08,24.74,551.9,0.73,40.4,11,-4.65,35,5,0,4,0,2.31,14.13,0,0
TND-2023-0005,2023-01-23,BRK-PACIFIC,Hay Point,GAN,Coking Coal,Capesize,AUS_GAN_CAP,159300.0,24.87,23,23.39,22.91,21.08,24.74,551.9,0.73,40.4,35,-1.82,31,4,0,5,0,8.56,14.13,1,0
TND-2023-0006,2024-05-23,BRK-TRITON,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,154271.0,16.75,28,18.54,17.96,16.52,19.4,556.5,0.44,60.1,22,0.64,46,7,0,1,1,-6.74,12.54,0,0
TND-2023-0006,2024-05-23,BRK-MARITIME,Richards Bay,DHA,Thermal Coal,Capesize,SAF_DHA_CAP,151417.0,17.12,16,18.54,17.96,16.52,19.4,556.5,0.44,60.1,68,10.22,41,13,0,2,0,-4.68,12.54,0,0
