month,origin_country,destination_country,quantity_mt,value_usd
2020-01,Australia,India,1989662,138599854.92
2020-01,Indonesia,India,4136812,300456655.56
2020-01,Mozambique,India,420226,25188346.44
2020-01,Russia,India,1209939,66945924.87
2020-01,USA,India,340581,20107902.24
2020-02,Australia,India,1914873,127798624.02
2020-02,Indonesia,India,3164238,201182252.04
2020-02,Mozambique,India,329721,17860986.57
2020-02,Russia,India,875537,39968264.05
2020-02,USA,India,344536,18194946.16
2020-03,Australia,India,2313579,154408262.46
2020-03,Indonesia,India,2812412,178813154.96
2020-03,Mozambique,India,386065,20913141.05
2020-03,Russia,India,752432,34348520.8
2020-03,USA,India,475929,25133810.49
2020-04,Australia,India,2386656,139738708.8
2020-04,Indonesia,India,3730507,239423939.26
2020-04,Mozambique,India,312392,15385306.0
2020-04,Russia,India,772792,35208403.52
2020-04,USA,India,356844,17381871.24
2020-05,Australia,India,2845699,149370740.51
2020-05,Indonesia,India,4237523,257810899.32
2020-05,Mozambique,India,473810,24818167.8
2020-05,Russia,India,966988,42083317.76
2020-05,USA,India,480581,23337013.36
2020-06,Australia,India,1967798,102738733.58
2020-06,Indonesia,India,3634810,209546796.5
2020-06,Mozambique,India,248851,13612149.7
2020-06,Russia,India,1070559,50112866.79
2020-06,USA,India,535283,26705268.87
2020-07,Australia,India,2823904,145600490.24
2020-07,Indonesia,India,4861091,270665546.88
2020-07,Mozambique,India,283946,15245060.74
2020-07,Russia,India,479884,23831039.44
2020-07,USA,India,516870,25693607.7
2020-08,Australia,India,2314298,116038901.72
2020-08,Indonesia,India,3117015,164609562.15
2020-08,Mozambique,India,291001,16150555.5
2020-08,Russia,India,1040228,53186857.64
2020-08,USA,India,604226,32942401.52
2020-09,Australia,India,2391181,130558482.6
2020-09,Indonesia,India,3323982,164271190.44
2020-09,Mozambique,India,406891,22985272.59
2020-09,Russia,India,1090837,59396074.65
2020-09,USA,India,350229,18383520.21
2020-10,Australia,India,2521759,147270725.6
2020-10,Indonesia,India,3115085,171423127.55
2020-10,Mozambique,India,352671,22017250.53
2020-10,Russia,India,986422,53769863.22
2020-10,USA,India,455918,26402211.38
2020-11,Australia,India,1582491,101912420.4
2020-11,Indonesia,India,4085193,253404521.79
2020-11,Mozambique,India,257079,18777050.16
2020-11,Russia,India,1020491,67352406.0
2020-11,USA,India,288273,17593301.19
2020-12,Australia,India,1998118,165903737.54
2020-12,Indonesia,India,3461511,242963457.09
2020-12,Mozambique,India,304051,24077798.69
2020-12,Russia,India,938421,68964559.29
2020-12,USA,India,472871,27620395.11
2021-01,Australia,India,2964540,257411008.2
2021-01,Indonesia,India,4135496,313636016.64
2021-01,Mozambique,India,424132,34168073.92
2021-01,Russia,India,708392,51556769.76
2021-01,USA,India,542057,33564169.44
2021-02,Australia,India,2569137,222846943.38
2021-02,Indonesia,India,4797204,421146539.16
2021-02,Mozambique,India,444964,34987519.32
2021-02,Russia,India,749078,57259522.32
2021-02,USA,India,338301,22060608.21
2021-03,Australia,India,1880785,178524112.2
2021-03,Indonesia,India,3349345,282919172.15
2021-03,Mozambique,India,443268,35745131.52
2021-03,Russia,India,562833,41632757.01
2021-03,USA,India,454499,32010364.57
2021-04,Australia,India,2624153,241999389.66
2021-04,Indonesia,India,3692642,320078208.56
2021-04,Mozambique,India,255417,21667024.11
2021-04,Russia,India,750066,59660249.64
2021-04,USA,India,497171,35025696.95
2021-05,Australia,India,2511665,268848621.6
2021-05,Indonesia,India,3688977,331048795.98
2021-05,Mozambique,India,372955,36374301.15
