port_id,port_name,country,berth_name,cargo_type,max_loa_m,max_beam_m,max_draft_m,max_dwt_mt,berth_length_m,handling_rate_mt_hr,equipment,tidal_restriction,special_restriction,source,source_date,effective_from,effective_to,flag_invalid_loa,flag_invalid_beam,flag_invalid_draft,flag_invalid_dwt,flag_invalid_berth_length,flag_invalid_handling_rate,flag_berth_shorter_than_loa,dwt_per_draft_m,max_vessel_footprint_m2,berth_loa_margin_m,has_tidal_restriction,has_special_restriction,constraint_completeness_pct,source_available
INDHM,Dhamra,India,Bulk Berth,Coal,280,45,18.0,100000,300,3000,Ship Loader,None,panamax only,Dhamra Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5555.555555555556,12600,20,0,1,100.0,1
INGGV,Gangavaram,India,Berth 3,Coal,275,43,15.5,95000,270,2800,Conveyor,None,None,Gangavaram Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,1,6129.032258064516,11825,-5,0,0,100.0,1
INGPL,Gopalpur,India,Bulk Berth,Coal,250,40,14.0,70000,260,2200,Grab Unloaders,None,None,Gopalpur Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5000.0,10000,10,0,0,100.0,1
INHLD,Haldia,India,Berth 2,Coal,230,38,12.5,60000,240,1800,Conveyor,tidal restrictions,panamax limited,Sagarmala Master Plan,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,4800.0,8740,10,0,1,100.0,1
INPRD,Paradip,India,Coal Berth 1,Coal,300,46,14.5,85000,280,2500,Grab Unloaders,None,None,Paradip Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,1,5862.068965517241,13800,-20,0,0,100.0,1
INVIZ,Vizag,India,EQ1,Coal,240,40,14.5,65000,250,2000,Conveyor,None,None,Vizag Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,4482.758620689655,9600,10,0,0,100.0,1
INENR,Kamarajar (Ennore),India,Coal Berth 1,Coal,260,43,16.0,85000,280,2600,Conveyor,None,None,Kamarajar Port Limited,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5312.5,11180,20,0,0,100.0,1
INMAA,Chennai,India,JD Berth 2,Coal,250,40,14.0,75000,260,2200,Grab Unloaders,None,None,Chennai Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5357.1,10000,10,0,0,100.0,1
INTUT,V.O. Chidambaranar (Tuticorin),India,Coal Berth 2,Coal,245,38,14.2,75000,250,2100,Conveyor,None,None,VOC Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5281.7,9310,5,0,0,100.0,1
INCOK,Cochin,India,Q9 Berth,Coal,230,36,13.5,60000,240,1800,Grab Unloaders,None,None,Cochin Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,4444.4,8280,10,0,0,100.0,1
INNML,New Mangalore,India,Berth 8,Coal,260,42,14.5,80000,270,2400,Conveyor,None,None,New Mangalore Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5517.2,10920,10,0,0,100.0,1
INMRM,Mormugao,India,Berth 7,Coal,250,40,14.0,75000,260,2300,Grab Unloaders,None,None,Mormugao Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5357.1,10000,10,0,0,100.0,1
INBOM,Mumbai Port,India,OCT 2,Coal,260,42,14.0,80000,270,2200,Conveyor,None,None,Mumbai Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5714.3,10920,10,0,0,100.0,1
INIXY,Deendayal (Kandla),India,Berth 11,Coal,255,40,13.5,75000,260,2100,Grab Unloaders,tidal restrictions,None,Deendayal Port Authority,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,5555.6,10200,5,1,0,100.0,1
INKRI,Krishnapatnam,India,Berth 1,Coal,300,48,18.0,180000,320,3500,Ship Loader,None,capesize capable,Krishnapatnam Port Co,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,10000.0,14400,20,0,1,100.0,1
INJAI,Jaigarh,India,Berth 2,Coal,310,50,18.5,200000,330,3800,Ship Loader,None,capesize capable,Jaigarh Port JSW,2026-08-01,2026-08-01,2026-12-31,0,0,0,0,0,0,0,10810.8,15500,20,0,1,100.0,1
