year,month,state,port,vessel_count,vessel_type,nrt,cargo,trade_type,nationality,port_id,port_id_available,year_month,is_coal,is_foreign_trade,is_coastal_trade,avg_nrt_per_vessel,coal_vessel_count,coal_nrt,foreign_coal_vessel_count,coastal_coal_vessel_count,activity_observation,vessel_class_mapping_available,data_completeness_pct,estimated_dwt,vessel_class
2023,4,Maharashtra,Dharamtar,7282,SV,28187781,General,Coastal,India,INDHA,1,2023-04,0,0,1,3870.8845097500684,0,0,0,0,1,1,100.0,8515.945921450151,Handysize/Coastal
2023,4,Andhra Pradesh,Gangavaram,215,STV,11300000,Iron Ore,Foreign,Liberia,INGGV,1,2023-04,0,1,0,52558.13953488372,0,0,0,0,1,1,100.0,99750.0,Capesize
2023,4,Odisha,Gopalpur,125,STV,6400000,Coal,Foreign,Panama,INGPL,1,2023-04,1,1,0,51200.0,125,6400000,125,0,1,1,100.0,73500.0,Panamax
2023,4,West Bengal,Haldia,1464,STV,29939148,Coal,Foreign,India,INHLD,1,2023-04,1,1,0,20450.237704918032,1464,29939148,1464,0,1,1,100.0,44990.52295081967,Supramax
2023,4,Maharashtra,JNPT,2925,STV,51929084,General,Coastal,India,INNSA,1,2023-04,0,0,1,17753.53299145299,0,0,0,0,1,1,100.0,39057.77258119658,Supramax
2023,4,Gujarat,Mundra,118,STV,3752184,Ballast,Foreign,Liberia,INMUN,1,2023-04,0,1,0,31798.169491525423,0,0,0,0,1,1,100.0,69955.97288135593,Panamax
2023,4,Gujarat,Mundra,3032,STV,82655333,General,Foreign,Panama,INMUN,1,2023-04,0,1,0,27260.993733509236,0,0,0,0,1,1,100.0,59974.18621372033,Panamax
2023,4,Odisha,Paradip,310,STV,14200000,Coal,Foreign,Panama,INPRD,1,2023-04,1,1,0,45806.45161290323,310,14200000,310,0,1,1,100.0,89250.0,Panamax
2023,4,Maharashtra,Ratnagiri,2023,SV,4900993,Ballast,Coastal,India,INRRN,1,2023-04,0,0,1,2422.636183885319,0,0,0,0,1,1,100.0,5329.799604547702,Handysize/Coastal
2023,4,Andhra Pradesh,Vizag,275,STV,12300000,Coal,Foreign,Panama,INVIZ,1,2023-04,1,1,0,44727.27272727273,275,12300000,275,0,1,1,100.0,68250.0,Panamax
2024,4,Maharashtra,Dharamtar,7604,SV,49370494,General,Coastal,India,INDHA,1,2024-04,0,0,1,6492.700420831142,0,0,0,0,1,1,100.0,14283.940925828514,Handysize/Coastal
2024,4,Andhra Pradesh,Gangavaram,150,STV,7432471,Ballast,Foreign,Panama,INGGV,1,2024-04,0,1,0,49549.806666666664,0,0,0,0,1,1,100.0,99750.0,Capesize
2024,4,Andhra Pradesh,Gangavaram,349,STV,7432471,Ballast,Foreign,Panama,INGGV,1,2024-04,0,1,0,21296.478510028654,0,0,0,0,1,1,100.0,46852.25272206304,Supramax
