port_id,unlocode,name,country,latitude,longitude
DHA,INDHM,Dhamra,India,20.7833,86.9167
GAN,INGGV,Gangavaram,India,17.6167,83.2333
GOP,INGPL,Gopalpur,India,19.2667,84.9167
HAL,INHLD,Haldia,India,22.0333,88.0667
PAR,INPPD,Paradip,India,20.3167,86.6167
VIZ,INVTZ,Vizag,India,17.6868,83.2185
ENR,INENR,Kamarajar (Ennore),India,13.2644,80.3347
CHN,INMAA,Chennai,India,13.0844,80.2989
TUT,INTUT,V.O. Chidambaranar (Tuticorin),India,8.7547,78.1883
COC,INCOK,Cochin,India,9.9667,76.2667
NMP,INNML,New Mangalore,India,12.9258,74.8197
MOR,INMRM,Mormugao,India,15.4167,73.8000
BOM,INBOM,Mumbai Port,India,18.9438,72.8536
IXY,INIXY,Deendayal (Kandla),India,23.0033,70.2189
KRI,INKRI,Krishnapatnam,India,14.2500,80.1167
JAI,INJAI,Jaigarh,India,17.3000,73.2000
