timestamp,port_id,latitude,longitude,wind_speed,wave_height,wave_period,precipitation,pressure,storm_flag,cyclone_flag
2020-01-01,DHA,20.7833,86.9167,24.3,1.93,5.9,7.2,1005.3,0,0
2020-01-08,DHA,20.7833,86.9167,14.8,1.75,9.3,16.6,1011.7,0,0
2020-01-15,DHA,20.7833,86.9167,12.9,1.66,9.3,1.3,1015.1,0,0
2020-01-22,DHA,20.7833,86.9167,15.2,1.31,6.4,5.9,1008.0,0,0
2020-01-29,DHA,20.7833,86.9167,18.7,1.49,8.0,7.9,1010.4,0,0
2020-02-05,DHA,20.7833,86.9167,13.1,1.58,10.0,18.9,1018.8,0,0
2020-02-12,DHA,20.7833,86.9167,14.3,1.61,7.8,10.3,1010.6,0,0
2020-02-19,DHA,20.7833,86.9167,12.8,1.52,5.8,6.0,1009.1,0,0
2020-02-26,DHA,20.7833,86.9167,14.5,1.29,9.9,11.6,1011.1,0,0
2020-03-04,DHA,20.7833,86.9167,14.9,1.08,6.6,13.4,1015.1,0,0
2020-03-11,DHA,20.7833,86.9167,11.4,1.44,8.3,11.0,1015.0,0,0
2020-03-18,DHA,20.7833,86.9167,13.6,1.44,6.7,18.7,1012.1,0,0
2020-03-25,DHA,20.7833,86.9167,13.4,1.73,9.2,0.1,1010.8,0,0
2020-04-01,DHA,20.7833,86.9167,15.4,1.14,7.0,0,1011.1,0,0
2020-04-08,DHA,20.7833,86.9167,14.3,1.18,10.6,8.1,1018.0,0,0
2020-04-15,DHA,20.7833,86.9167,14.6,0.99,8.9,25.4,1013.7,0,0
2020-04-22,DHA,20.7833,86.9167,13.5,1.23,7.9,4.1,1009.8,0,0
2020-04-29,DHA,20.7833,86.9167,18.7,2.17,6.2,0,1012.4,0,0
2020-05-06,DHA,20.7833,86.9167,17.6,0.97,10.7,9.8,1017.0,0,0
2020-05-13,DHA,20.7833,86.9167,15.4,1.82,7.6,0,1018.0,0,0
2020-05-20,DHA,20.7833,86.9167,22.3,1.63,7.6,17.9,1014.1,0,0
2020-05-27,DHA,20.7833,86.9167,11.8,0.79,6.6,11.1,1009.8,0,0
2020-06-03,DHA,20.7833,86.9167,31.1,2.3,7.5,56.2,998.7,0,0
2020-06-10,DHA,20.7833,86.9167,29.3,2.48,9.1,85.5,1005.4,0,0
2020-06-17,DHA,20.7833,86.9167,25.3,2.0,5.8,28.9,1002.6,0,0
2020-06-24,DHA,20.7833,86.9167,13.7,2.18,8.9,51.3,1004.6,0,0
2020-07-01,DHA,20.7833,86.9167,36.2,2.45,8.1,29.6,1001.4,0,0
2020-07-08,DHA,20.7833,86.9167,28.7,1.74,5.4,103.1,1000.9,0,0
2020-07-15,DHA,20.7833,86.9167,33.4,2.79,9.7,59.7,1006.6,0,0
2020-07-22,DHA,20.7833,86.9167,30.7,2.49,9.8,42.1,1007.2,0,0
2020-07-29,DHA,20.7833,86.9167,27.1,2.39,8.4,92.3,993.8,0,0
2020-08-05,DHA,20.7833,86.9167,23.6,3.0,6.8,66.8,995.5,0,0
2020-08-12,DHA,20.7833,86.9167,21.4,1.85,10.1,74.3,1007.8,0,0
2020-08-19,DHA,20.7833,86.9167,19.2,2.39,10.8,54.6,999.7,0,0
2020-08-26,DHA,20.7833,86.9167,27.6,2.22,5.3,72.7,997.4,0,0
2020-09-02,DHA,20.7833,86.9167,23.0,2.39,10.9,39.7,993.8,0,0
2020-09-09,DHA,20.7833,86.9167,27.8,2.07,9.3,78.3,1007.0,0,0
2020-09-16,DHA,20.7833,86.9167,13.5,2.11,8.8,94.9,1009.5,0,0
2020-09-23,DHA,20.7833,86.9167,30.5,1.48,9.7,23.2,1004.3,0,0
2020-09-30,DHA,20.7833,86.9167,23.1,2.59,9.4,75.7,1006.0,0,0
2020-10-07,DHA,20.7833,86.9167,69.8,4.62,11.0,6.9,979.6,0,1
2020-10-14,DHA,20.7833,86.9167,16.1,2.48,6.9,21.8,1011.7,0,0
2020-10-21,DHA,20.7833,86.9167,12.1,1.03,8.8,15.1,1019.0,0,0
2020-10-28,DHA,20.7833,86.9167,16.7,1.44,7.7,11.4,1015.6,0,0
2020-11-04,DHA,20.7833,86.9167,13.3,1.5,8.8,0,1020.7,0,0
2020-11-11,DHA,20.7833,86.9167,15.1,2.08,7.5,7.9,1015.0,0,0
2020-11-18,DHA,20.7833,86.9167,15.9,1.58,8.5,0,1011.9,0,0
2020-11-25,DHA,20.7833,86.9167,19.3,1.34,9.5,9.0,1019.7,0,0
2020-12-02,DHA,20.7833,86.9167,21.0,0.94,9.6,13.3,1010.9,0,0
2020-12-09,DHA,20.7833,86.9167,13.2,1.24,10.9,16.5,1008.6,0,0
2020-12-16,DHA,20.7833,86.9167,13.3,1.6,9.9,0.2,1008.9,0,0
2020-12-23,DHA,20.7833,86.9167,15.0,1.46,10.1,1.4,1014.3,0,0
2020-12-30,DHA,20.7833,86.9167,17.9,1.59,5.6,5.6,1011.1,0,0
2021-01-06,DHA,20.7833,86.9167,15.9,0.27,8.1,0.3,1011.7,0,0
2021-01-13,DHA,20.7833,86.9167,12.9,1.36,9.2,8.5,1009.3,0,0
2021-01-20,DHA,20.7833,86.9167,13.4,1.24,7.0,15.6,1008.0,0,0
2021-01-27,DHA,20.7833,86.9167,10.4,1.08,6.5,2.6,1009.4,0,0
2021-02-03,DHA,20.7833,86.9167,12.3,0.97,6.1,9.0,1009.8,0,0
2021-02-10,DHA,20.7833,86.9167,14.6,2.22,9.5,6.7,1015.2,0,0
2021-02-17,DHA,20.7833,86.9167,12.2,1.8,8.0,12.9,1013.7,0,0
2021-02-24,DHA,20.7833,86.9167,14.9,1.12,8.3,11.2,1019.3,0,0
2021-03-03,DHA,20.7833,86.9167,15.3,1.6,10.9,11.5,1017.6,0,0
2021-03-10,DHA,20.7833,86.9167,15.6,1.65,10.2,5.2,1012.8,0,0
2021-03-17,DHA,20.7833,86.9167,13.6,1.23,9.6,1.1,1009.2,0,0
2021-03-24,DHA,20.7833,86.9167,17.4,2.09,10.9,1.4,1013.7,0,0
2021-03-31,DHA,20.7833,86.9167,17.9,1.56,5.6,12.5,1015.2,0,0
2021-04-07,DHA,20.7833,86.9167,22.8,1.21,10.8,18.9,1014.1,0,0
2021-04-14,DHA,20.7833,86.9167,15.7,1.27,10.8,16.5,1012.5,0,0
2021-04-21,DHA,20.7833,86.9167,18.3,2.13,5.5,0,1007.6,0,0
2021-04-28,DHA,20.7833,86.9167,10.3,1.56,5.1,11.6,1019.6,0,0
2021-05-05,DHA,20.7833,86.9167,17.6,1.57,5.3,8.4,1001.8,0,0
