date,route_id,origin,destination_port,vessel_class,freight_usd_mt,bunker_price_usd_mt,coal_price_usd_mt,market_regime_predicted,bearish_probability,bullish_probability,neutral_probability,market_score,freight_direction,market_volatility,forward_signal,bunker_pressure,port_pressure,chartering_signal
2025-01-01,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.51,524.14,129.17,BULLISH,0.0824740162238366,0.8196457024440444,0.09788028133211883,86.9,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-02,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.51451612903226,524.8270967741936,129.54,BULLISH,0.0733750392295571,0.8232039780096873,0.10342098276075548,87.5,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-03,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.519032258064517,525.5141935483871,133.85,BULLISH,0.07204575521937735,0.8328351060070124,0.0951191387736099,88.0,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-04,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.523548387096774,526.2012903225807,135.37,BULLISH,0.07067145096883957,0.8400374593896143,0.08929108964154593,88.5,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-05,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.528064516129035,526.8883870967742,132.37,BULLISH,0.05372409202222987,0.8785119698433052,0.06776393813446499,91.2,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-06,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.532580645161293,527.5754838709678,133.81,BULLISH,0.03812741002022244,0.9095869310547242,0.05228565892505366,93.6,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-07,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.53709677419355,528.2625806451613,131.13,BULLISH,0.04111084120392107,0.9101710614435035,0.04871809735257537,93.5,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-08,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.541612903225808,528.9496774193549,128.96,BULLISH,0.03977597229990881,0.9137672512029116,0.04645677649717981,93.7,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-09,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.546129032258065,529.6367741935484,132.88,BULLISH,0.03845455660691296,0.9127577319672163,0.048787711425870905,93.7,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-10,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.550645161290323,530.323870967742,132.81,BULLISH,0.03927183834215468,0.911337204528989,0.04939095712885647,93.6,FALLING,MEDIUM,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-11,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.55516129032258,531.0109677419355,131.83,BULLISH,0.044241297992742144,0.9136646450538992,0.0420940569533586,93.5,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-12,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.559677419354838,531.6980645161291,131.22,BULLISH,0.04058489833476713,0.9189675434079791,0.04044755825725365,93.9,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-13,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.5641935483871,532.3851612903226,133.65,BULLISH,0.03929010222564345,0.9184039390518784,0.04230595872247819,94.0,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-14,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.568709677419356,533.0722580645162,129.77,BULLISH,0.040772493004462215,0.9203320435112277,0.03889546348431018,94.0,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-15,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.573225806451614,533.7593548387097,130.21,BULLISH,0.040723552750566376,0.917724245921575,0.04155220132785862,93.9,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-16,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.57774193548387,534.4464516129033,129.76,BULLISH,0.04378588296159327,0.9187453725052982,0.03746874453310876,93.7,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-17,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.58225806451613,535.1335483870968,131.96,BULLISH,0.05132829494171653,0.9142362206290975,0.03443548442918598,93.1,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-18,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.586774193548386,535.8206451612904,129.63,BULLISH,0.04561292785788424,0.9192852479595387,0.035101824182577075,93.7,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-19,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.591290322580644,536.5077419354839,130.46,BULLISH,0.0441971017337525,0.91698101856666,0.038821879699587544,93.6,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-20,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.5958064516129,537.1948387096775,130.43,BULLISH,0.048830612728126985,0.9191600606497453,0.032009326622127666,93.5,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-21,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.600322580645162,537.881935483871,131.34,BULLISH,0.048011469632106375,0.9176012373066764,0.034387293061217135,93.5,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-22,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.60483870967742,538.5690322580646,128.9,BULLISH,0.04666245466978375,0.9248935563164591,0.028443989013757026,93.9,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-23,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.609354838709677,539.2561290322581,132.07,BULLISH,0.04343851278774489,0.9243793873177198,0.03218209989453516,94.0,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-24,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.613870967741935,539.9432258064517,134.41,BULLISH,0.045643264008792775,0.9191319613517673,0.035224774639439856,93.7,FALLING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-25,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.618387096774192,540.6303225806452,132.2,BULLISH,0.04569182426719379,0.9219933191087281,0.03231485662407813,93.8,RISING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-26,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.62290322580645,541.3174193548388,135.03,BULLISH,0.04472603747468169,0.9206056558090624,0.034668306716256,93.8,RISING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-27,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.627419354838707,542.0045161290323,134.63,BULLISH,0.0503743349036964,0.9179000674088408,0.03172559768746295,93.4,RISING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
2025-01-28,AUS_DHA_PAN,Australia,Dhamra,Panamax,16.631935483870965,542.6916129032259,133.54,BULLISH,0.04827607283155819,0.9187247961865356,0.03299913098190634,93.5,RISING,LOW,NEUTRAL,LOW,LOW,ENTER / CONSIDER FIXING
