feature,importance,rank
market_regime_encoded,0.6049525972188513,1
momentum_7d,0.03344709464330046,2
cos_day,0.0308069701974305,3
freight_change_7d_pct,0.02103417833654252,4
day_of_year,0.017018291838991884,5
freight_change_30d_pct,0.01628119260460816,6
freight_change_14d_pct,0.013001578800755333,7
ffa_3m_premium_usd,0.011323042500216705,8
ffa_3m_premium_pct,0.010895507044054236,9
synthetic_bunker_price_usd_mt,0.010154268329107487,10
sin_day,0.010102035838021179,11
freight_volatility_7d,0.009998352447428076,12
bunker_price_usd_mt,0.009888549859637523,13
ffa_curve_slope_1m_3m,0.00986572512032739,14
ffa_1m_premium_usd,0.009657275998903864,15
ffa_1m_premium_pct,0.009465992928715855,16
month,0.008944602155295883,17
ffa_6m,0.00872624813906481,18
ffa_1m,0.008437333633274549,19
freight_volatility_30d,0.008361249877955076,20
freight_volatility_14d,0.00819356973942258,21
ffa_3m,0.007572592162952283,22
tce_usd_day,0.007421812550483144,23
freight_ma14,0.006816114973965726,24
freight_ema7,0.006736866360176561,25
freight_usd_mt,0.0067317869167183636,26
freight_ma7,0.006637409183758294,27
freight_ma30,0.006507637215494963,28
bdi,0.0064565401092751855,29
bpi,0.006254788433044474,30
bsi,0.005932439836805012,31
bci,0.005652223607646828,32
avg_precipitation,0.005082682190505703,33
bhsi,0.0050085022298994855,34
coal_price_usd_mt,0.004905600946541416,35
avg_wind_speed,0.004364784975060343,36
avg_wave_height,0.004035635303948943,37
distance_nm,0.0038907403298752015,38
avg_pressure,0.0036272486264527096,39
avg_wave_period,0.0028962256839310456,40
avg_port_stay_hours,0.0028578500913993264,41
max_waiting_hours,0.002623785092689211,42
avg_waiting_hours,0.0026081576002482073,43
median_waiting_hours,0.002586209564210807,44
handling_rate_mt_hr,0.0013430969266845707,45
dwt_per_draft_m,0.0013383103282150236,46
max_draft_m,0.001279019796199909,47
max_vessel_footprint_m2,0.0012481620522783812,48
max_loa_m,0.0011903035167678008,49
berth_length_m,0.001161109775889529,50
max_dwt_mt,0.001160723602720911,51
max_beam_m,0.001039511064274218,52
berth_loa_margin_m,0.000892064086364962,53
has_special_restriction,0.0004109481491240232,54
flag_berth_shorter_than_loa,0.0003444943057336689,55
special_restriction,0.0003073625741894449,56
port_calls_count,0.00024036664217286447,57
tidal_restriction,0.0001818285508264258,58
storm_flag,9.82054732654841e-05,59
cyclone_flag,1.2019183042180273e-06,60
