route_key,contract_risk
Baltimore-Dhamra,57.14285714285714
Baltimore-Gangavaram,76.19047619047619
Baltimore-Gopalpur,53.84615384615385
Baltimore-Haldia,29.411764705882355
Baltimore-Paradip,62.5
Baltimore-Vizag,58.82352941176471
Beira-Dhamra,64.70588235294117
Beira-Gangavaram,63.33333333333333
Beira-Gopalpur,69.56521739130434
Beira-Haldia,46.15384615384615
Beira-Paradip,65.0
Beira-Vizag,66.66666666666666
Dalrymple Bay-Dhamra,42.857142857142854
Dalrymple Bay-Gangavaram,55.55555555555556
Dalrymple Bay-Gopalpur,58.333333333333336
Dalrymple Bay-Haldia,46.15384615384615
Dalrymple Bay-Paradip,57.14285714285714
Dalrymple Bay-Vizag,50.0
Gladstone-Dhamra,64.70588235294117
Gladstone-Gangavaram,69.23076923076923
Gladstone-Gopalpur,36.36363636363637
Gladstone-Haldia,75.0
Gladstone-Paradip,54.54545454545454
Gladstone-Vizag,78.57142857142857
Hampton Roads-Dhamra,58.333333333333336
Hampton Roads-Gangavaram,59.09090909090909
Hampton Roads-Gopalpur,61.53846153846154
Hampton Roads-Haldia,60.0
Hampton Roads-Paradip,50.0
Hampton Roads-Vizag,53.84615384615385
Hay Point-Dhamra,69.23076923076923
Hay Point-Gangavaram,61.53846153846154
Hay Point-Gopalpur,60.0
Hay Point-Haldia,42.857142857142854
Hay Point-Paradip,70.58823529411765
Hay Point-Vizag,90.0
Muara Pantai-Dhamra,62.5
Muara Pantai-Gangavaram,52.38095238095239
Muara Pantai-Gopalpur,68.42105263157895
Muara Pantai-Haldia,54.166666666666664
Muara Pantai-Paradip,43.75
Muara Pantai-Vizag,57.14285714285714
Nacala-Dhamra,69.56521739130434
Nacala-Gangavaram,66.66666666666666
Nacala-Gopalpur,66.66666666666666
Nacala-Haldia,45.83333333333333
Nacala-Paradip,50.0
Nacala-Vizag,57.692307692307686
New Orleans-Dhamra,73.68421052631578
New Orleans-Gangavaram,57.14285714285714
New Orleans-Gopalpur,58.82352941176471
New Orleans-Haldia,75.0
New Orleans-Paradip,50.0
New Orleans-Vizag,61.53846153846154
Newcastle-Dhamra,46.15384615384615
Newcastle-Gangavaram,56.25
Newcastle-Gopalpur,81.81818181818183
Newcastle-Haldia,50.0
Newcastle-Paradip,47.368421052631575
Newcastle-Vizag,90.9090909090909
Novorossiysk (Black Sea)-Dhamra,64.28571428571429
Novorossiysk (Black Sea)-Gangavaram,64.70588235294117
Novorossiysk (Black Sea)-Gopalpur,55.55555555555556
Novorossiysk (Black Sea)-Haldia,37.5
Novorossiysk (Black Sea)-Paradip,42.857142857142854
Novorossiysk (Black Sea)-Vizag,54.54545454545454
Samarinda-Dhamra,52.38095238095239
Samarinda-Gangavaram,59.09090909090909
Samarinda-Gopalpur,65.21739130434783
Samarinda-Haldia,52.94117647058824
Samarinda-Paradip,72.72727272727273
Samarinda-Vizag,56.25
Taboneo-Dhamra,66.66666666666666
Taboneo-Gangavaram,57.89473684210527
Taboneo-Gopalpur,66.66666666666666
Taboneo-Haldia,41.66666666666667
Taboneo-Paradip,64.70588235294117
Taboneo-Vizag,57.14285714285714
Ust-Luga (Baltic)-Dhamra,54.54545454545454
Ust-Luga (Baltic)-Gangavaram,60.0
Ust-Luga (Baltic)-Gopalpur,64.28571428571429
Ust-Luga (Baltic)-Haldia,61.111111111111114
Ust-Luga (Baltic)-Paradip,66.66666666666666
Ust-Luga (Baltic)-Vizag,64.70588235294117
Vostochny (Far East)-Dhamra,58.82352941176471
Vostochny (Far East)-Gangavaram,69.23076923076923
Vostochny (Far East)-Gopalpur,65.21739130434783
Vostochny (Far East)-Haldia,75.0
Vostochny (Far East)-Paradip,50.0
Vostochny (Far East)-Vizag,50.0
