event_id,event_type,region,severity,start,end,affected_routes
EVT0001,Cyclone,India - Dhamra,High,2020-10-07,2020-10-10,AUS_DHA_CAP;AUS_DHA_PAN;IND_DHA_CAP;IND_DHA_PAN;MOZ_DHA_CAP;MOZ_DHA_PAN;RUS_DHA_CAP;RUS_DHA_PAN;USA_DHA_CAP;USA_DHA_PAN
EVT0002,Cyclone,India - Dhamra,High,2021-11-10,2021-11-13,AUS_DHA_CAP;AUS_DHA_PAN;IND_DHA_CAP;IND_DHA_PAN;MOZ_DHA_CAP;MOZ_DHA_PAN;RUS_DHA_CAP;RUS_DHA_PAN;USA_DHA_CAP;USA_DHA_PAN
EVT0003,Cyclone,India - Dhamra,High,2022-11-30,2022-12-03,AUS_DHA_CAP;AUS_DHA_PAN;IND_DHA_CAP;IND_DHA_PAN;MOZ_DHA_CAP;MOZ_DHA_PAN;RUS_DHA_CAP;RUS_DHA_PAN;USA_DHA_CAP;USA_DHA_PAN
EVT0004,Cyclone,India - Dhamra,High,2025-10-08,2025-10-11,AUS_DHA_CAP;AUS_DHA_PAN;IND_DHA_CAP;IND_DHA_PAN;MOZ_DHA_CAP;MOZ_DHA_PAN;RUS_DHA_CAP;RUS_DHA_PAN;USA_DHA_CAP;USA_DHA_PAN
EVT0005,Cyclone,India - Gangavaram,High,2020-10-14,2020-10-17,AUS_GAN_CAP;AUS_GAN_PAN;IND_GAN_CAP;IND_GAN_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;RUS_GAN_CAP;RUS_GAN_PAN;USA_GAN_CAP;USA_GAN_PAN
EVT0006,Cyclone,India - Gangavaram,High,2020-12-02,2020-12-05,AUS_GAN_CAP;AUS_GAN_PAN;IND_GAN_CAP;IND_GAN_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;RUS_GAN_CAP;RUS_GAN_PAN;USA_GAN_CAP;USA_GAN_PAN
EVT0007,Cyclone,India - Gangavaram,High,2021-12-15,2021-12-18,AUS_GAN_CAP;AUS_GAN_PAN;IND_GAN_CAP;IND_GAN_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;RUS_GAN_CAP;RUS_GAN_PAN;USA_GAN_CAP;USA_GAN_PAN
EVT0008,Cyclone,India - Gangavaram,High,2022-12-14,2022-12-17,AUS_GAN_CAP;AUS_GAN_PAN;IND_GAN_CAP;IND_GAN_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;RUS_GAN_CAP;RUS_GAN_PAN;USA_GAN_CAP;USA_GAN_PAN
EVT0009,Cyclone,India - Gangavaram,High,2024-12-18,2024-12-21,AUS_GAN_CAP;AUS_GAN_PAN;IND_GAN_CAP;IND_GAN_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;RUS_GAN_CAP;RUS_GAN_PAN;USA_GAN_CAP;USA_GAN_PAN
EVT0010,Cyclone,India - Gangavaram,High,2025-10-01,2025-10-04,AUS_GAN_CAP;AUS_GAN_PAN;IND_GAN_CAP;IND_GAN_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;RUS_GAN_CAP;RUS_GAN_PAN;USA_GAN_CAP;USA_GAN_PAN
EVT0011,Cyclone,India - Gangavaram,High,2025-10-29,2025-11-01,AUS_GAN_CAP;AUS_GAN_PAN;IND_GAN_CAP;IND_GAN_PAN;MOZ_GAN_CAP;MOZ_GAN_PAN;RUS_GAN_CAP;RUS_GAN_PAN;USA_GAN_CAP;USA_GAN_PAN
