date,route,vessel_class,period,price
2020-01-01,Australia-Paradip,Panamax,1M,19.0
2020-01-01,Australia-Paradip,Panamax,3M,19.06
2020-01-01,Australia-Paradip,Panamax,6M,18.9
2020-01-01,Australia-Paradip,Panamax,1Y,19.88
2020-01-01,Australia-Paradip,Capesize,1M,16.61
2020-01-01,Australia-Paradip,Capesize,3M,16.79
2020-01-01,Australia-Paradip,Capesize,6M,16.91
2020-01-01,Australia-Paradip,Capesize,1Y,17.61
2020-01-01,Australia-Vizag,Panamax,1M,15.49
2020-01-01,Australia-Vizag,Panamax,3M,15.71
2020-01-01,Australia-Vizag,Panamax,6M,15.5
2020-01-01,Australia-Vizag,Panamax,1Y,15.76
2020-01-01,Australia-Vizag,Capesize,1M,14.1
2020-01-01,Australia-Vizag,Capesize,3M,14.42
2020-01-01,Australia-Vizag,Capesize,6M,14.0
2020-01-01,Australia-Vizag,Capesize,1Y,15.28
2020-01-01,Australia-Dhamra,Panamax,1M,17.65
2020-01-01,Australia-Dhamra,Panamax,3M,17.82
2020-01-01,Australia-Dhamra,Panamax,6M,18.21
2020-01-01,Australia-Dhamra,Panamax,1Y,18.22
2020-01-01,Australia-Dhamra,Capesize,1M,16.73
2020-01-01,Australia-Dhamra,Capesize,3M,17.04
2020-01-01,Australia-Dhamra,Capesize,6M,16.58
2020-01-01,Australia-Dhamra,Capesize,1Y,17.79
2020-01-01,Australia-Gangavaram,Panamax,1M,17.38
2020-01-01,Australia-Gangavaram,Panamax,3M,17.69
2020-01-01,Australia-Gangavaram,Panamax,6M,17.4
2020-01-01,Australia-Gangavaram,Panamax,1Y,17.87
2020-01-01,Australia-Gangavaram,Capesize,1M,16.99
2020-01-01,Australia-Gangavaram,Capesize,3M,16.57
2020-01-01,Australia-Gangavaram,Capesize,6M,16.77
2020-01-01,Australia-Gangavaram,Capesize,1Y,17.33
2020-01-01,Australia-Gopalpur,Panamax,1M,14.69
2020-01-01,Australia-Gopalpur,Panamax,3M,13.95
2020-01-01,Australia-Gopalpur,Panamax,6M,14.99
2020-01-01,Australia-Gopalpur,Panamax,1Y,15.0
2020-01-01,Australia-Gopalpur,Capesize,1M,15.41
2020-01-01,Australia-Gopalpur,Capesize,3M,15.1
2020-01-01,Australia-Gopalpur,Capesize,6M,15.57
2020-01-01,Australia-Gopalpur,Capesize,1Y,16.2
2020-01-01,Australia-Haldia,Panamax,1M,19.17
2020-01-01,Australia-Haldia,Panamax,3M,19.19
2020-01-01,Australia-Haldia,Panamax,6M,19.45
2020-01-01,Australia-Haldia,Panamax,1Y,19.8
2020-01-01,Australia-Haldia,Capesize,1M,19.24
2020-01-01,Australia-Haldia,Capesize,3M,19.25
2020-01-01,Australia-Haldia,Capesize,6M,19.23
2020-01-01,Australia-Haldia,Capesize,1Y,20.0
2020-01-01,Indonesia-Paradip,Panamax,1M,10.8
2020-01-01,Indonesia-Paradip,Panamax,3M,10.85
2020-01-01,Indonesia-Paradip,Panamax,6M,11.65
2020-01-01,Indonesia-Paradip,Panamax,1Y,11.32
2020-01-01,Indonesia-Paradip,Capesize,1M,12.89
2020-01-01,Indonesia-Paradip,Capesize,3M,12.67
2020-01-01,Indonesia-Paradip,Capesize,6M,12.77
2020-01-01,Indonesia-Paradip,Capesize,1Y,13.17
2020-01-01,Indonesia-Vizag,Panamax,1M,10.34
2020-01-01,Indonesia-Vizag,Panamax,3M,10.45
2020-01-01,Indonesia-Vizag,Panamax,6M,10.66
2020-01-01,Indonesia-Vizag,Panamax,1Y,10.84
2020-01-01,Indonesia-Vizag,Capesize,1M,11.88
2020-01-01,Indonesia-Vizag,Capesize,3M,12.23
2020-01-01,Indonesia-Vizag,Capesize,6M,11.76
2020-01-01,Indonesia-Vizag,Capesize,1Y,12.05
