date,route_id,vessel_class,cargo_type,freight_usd_mt,tce_usd_day,source
2020-01-01,AUS_PAR_PAN,Panamax,Coal,18.86,14668,Synthetic (BDI benchmark)
2020-01-01,AUS_PAR_CAP,Capesize,Coal,16.53,17032,Synthetic (BDI benchmark)
2020-01-01,AUS_VIZ_PAN,Panamax,Coal,15.26,12722,Synthetic (BDI benchmark)
2020-01-01,AUS_VIZ_CAP,Capesize,Coal,14.33,19042,Synthetic (BDI benchmark)
2020-01-01,AUS_DHA_PAN,Panamax,Coal,17.61,13890,Synthetic (BDI benchmark)
2020-01-01,AUS_DHA_CAP,Capesize,Coal,16.66,15022,Synthetic (BDI benchmark)
2020-01-01,AUS_GAN_PAN,Panamax,Coal,17.34,13414,Synthetic (BDI benchmark)
2020-01-01,AUS_GAN_CAP,Capesize,Coal,16.54,15772,Synthetic (BDI benchmark)
2020-01-01,AUS_GOP_PAN,Panamax,Coal,14.36,9763,Synthetic (BDI benchmark)
2020-01-01,AUS_GOP_CAP,Capesize,Coal,15.19,17509,Synthetic (BDI benchmark)
2020-01-01,AUS_HAL_PAN,Panamax,Coal,19.19,13361,Synthetic (BDI benchmark)
2020-01-01,AUS_HAL_CAP,Capesize,Coal,18.99,15411,Synthetic (BDI benchmark)
2020-01-01,IND_PAR_PAN,Panamax,Coal,10.99,13978,Synthetic (BDI benchmark)
2020-01-01,IND_PAR_CAP,Capesize,Coal,12.56,17937,Synthetic (BDI benchmark)
2020-01-01,IND_VIZ_PAN,Panamax,Coal,10.48,12718,Synthetic (BDI benchmark)
2020-01-01,IND_VIZ_CAP,Capesize,Coal,11.74,16561,Synthetic (BDI benchmark)
2020-01-01,IND_DHA_PAN,Panamax,Coal,9.95,9087,Synthetic (BDI benchmark)
2020-01-01,IND_DHA_CAP,Capesize,Coal,10.31,19220,Synthetic (BDI benchmark)
2020-01-01,IND_GAN_PAN,Panamax,Coal,11.58,9669,Synthetic (BDI benchmark)
2020-01-01,IND_GAN_CAP,Capesize,Coal,12.47,15697,Synthetic (BDI benchmark)
2020-01-01,IND_GOP_PAN,Panamax,Coal,10.47,10995,Synthetic (BDI benchmark)
2020-01-01,IND_GOP_CAP,Capesize,Coal,9.11,17880,Synthetic (BDI benchmark)
2020-01-01,IND_HAL_PAN,Panamax,Coal,11.69,9537,Synthetic (BDI benchmark)
2020-01-01,IND_HAL_CAP,Capesize,Coal,11.05,17332,Synthetic (BDI benchmark)
2020-01-01,RUS_PAR_PAN,Panamax,Coal,19.77,12474,Synthetic (BDI benchmark)
2020-01-01,RUS_PAR_CAP,Capesize,Coal,22.07,17191,Synthetic (BDI benchmark)
2020-01-01,RUS_VIZ_PAN,Panamax,Coal,20.72,12428,Synthetic (BDI benchmark)
2020-01-01,RUS_VIZ_CAP,Capesize,Coal,21.09,19028,Synthetic (BDI benchmark)
2020-01-01,RUS_DHA_PAN,Panamax,Coal,21.82,14932,Synthetic (BDI benchmark)
2020-01-01,RUS_DHA_CAP,Capesize,Coal,21.34,17020,Synthetic (BDI benchmark)
2020-01-01,RUS_GAN_PAN,Panamax,Coal,22.92,12264,Synthetic (BDI benchmark)
2020-01-01,RUS_GAN_CAP,Capesize,Coal,23.43,17740,Synthetic (BDI benchmark)
2020-01-01,RUS_GOP_PAN,Panamax,Coal,20.86,11841,Synthetic (BDI benchmark)
2020-01-01,RUS_GOP_CAP,Capesize,Coal,24.3,19338,Synthetic (BDI benchmark)
2020-01-01,RUS_HAL_PAN,Panamax,Coal,22.03,9113,Synthetic (BDI benchmark)
2020-01-01,RUS_HAL_CAP,Capesize,Coal,19.77,19660,Synthetic (BDI benchmark)
2020-01-01,MOZ_PAR_PAN,Panamax,Coal,19.48,10128,Synthetic (BDI benchmark)
2020-01-01,MOZ_PAR_CAP,Capesize,Coal,19.55,18312,Synthetic (BDI benchmark)
2020-01-01,MOZ_VIZ_PAN,Panamax,Coal,20.57,11851,Synthetic (BDI benchmark)
2020-01-01,MOZ_VIZ_CAP,Capesize,Coal,18.9,16991,Synthetic (BDI benchmark)
2020-01-01,MOZ_DHA_PAN,Panamax,Coal,21.05,13037,Synthetic (BDI benchmark)
2020-01-01,MOZ_DHA_CAP,Capesize,Coal,20.54,15388,Synthetic (BDI benchmark)
2020-01-01,MOZ_GAN_PAN,Panamax,Coal,22.14,10508,Synthetic (BDI benchmark)
2020-01-01,MOZ_GAN_CAP,Capesize,Coal,20.01,17093,Synthetic (BDI benchmark)
2020-01-01,MOZ_GOP_PAN,Panamax,Coal,21.53,14355,Synthetic (BDI benchmark)
2020-01-01,MOZ_GOP_CAP,Capesize,Coal,21.92,16436,Synthetic (BDI benchmark)
2020-01-01,MOZ_HAL_PAN,Panamax,Coal,21.81,10399,Synthetic (BDI benchmark)
2020-01-01,MOZ_HAL_CAP,Capesize,Coal,19.82,15213,Synthetic (BDI benchmark)
2020-01-01,USA_PAR_PAN,Panamax,Coal,29.61,10300,Synthetic (BDI benchmark)
2020-01-01,USA_PAR_CAP,Capesize,Coal,30.73,19126,Synthetic (BDI benchmark)
2020-01-01,USA_VIZ_PAN,Panamax,Coal,36.9,9676,Synthetic (BDI benchmark)
2020-01-01,USA_VIZ_CAP,Capesize,Coal,33.34,16363,Synthetic (BDI benchmark)
2020-01-01,USA_DHA_PAN,Panamax,Coal,36.84,9870,Synthetic (BDI benchmark)
2020-01-01,USA_DHA_CAP,Capesize,Coal,34.62,19529,Synthetic (BDI benchmark)
2020-01-01,USA_GAN_PAN,Panamax,Coal,32.19,14854,Synthetic (BDI benchmark)
2020-01-01,USA_GAN_CAP,Capesize,Coal,30.41,18332,Synthetic (BDI benchmark)
2020-01-01,USA_GOP_PAN,Panamax,Coal,29.28,14311,Synthetic (BDI benchmark)
2020-01-01,USA_GOP_CAP,Capesize,Coal,30.48,19780,Synthetic (BDI benchmark)
2020-01-01,USA_HAL_PAN,Panamax,Coal,36.86,12109,Synthetic (BDI benchmark)
2020-01-01,USA_HAL_CAP,Capesize,Coal,31.57,18856,Synthetic (BDI benchmark)
2020-01-31,AUS_PAR_PAN,Panamax,Coal,18.71,10480,Synthetic (BDI benchmark)
2020-01-31,AUS_PAR_CAP,Capesize,Coal,16.79,16460,Synthetic (BDI benchmark)
2020-01-31,AUS_VIZ_PAN,Panamax,Coal,16.49,13759,Synthetic (BDI benchmark)
2020-01-31,AUS_VIZ_CAP,Capesize,Coal,18.21,19921,Synthetic (BDI benchmark)
2020-01-31,AUS_DHA_PAN,Panamax,Coal,15.43,10600,Synthetic (BDI benchmark)
2020-01-31,AUS_DHA_CAP,Capesize,Coal,16.24,16662,Synthetic (BDI benchmark)
2020-01-31,AUS_GAN_PAN,Panamax,Coal,16.55,13222,Synthetic (BDI benchmark)
2020-01-31,AUS_GAN_CAP,Capesize,Coal,14.4,19856,Synthetic (BDI benchmark)
2020-01-31,AUS_GOP_PAN,Panamax,Coal,13.92,9372,Synthetic (BDI benchmark)
2020-01-31,AUS_GOP_CAP,Capesize,Coal,17.42,19002,Synthetic (BDI benchmark)
2020-01-31,AUS_HAL_PAN,Panamax,Coal,18.26,12029,Synthetic (BDI benchmark)
2020-01-31,AUS_HAL_CAP,Capesize,Coal,14.07,18084,Synthetic (BDI benchmark)
2020-01-31,IND_PAR_PAN,Panamax,Coal,8.63,10531,Synthetic (BDI benchmark)
2020-01-31,IND_PAR_CAP,Capesize,Coal,10.29,18306,Synthetic (BDI benchmark)
2020-01-31,IND_VIZ_PAN,Panamax,Coal,11.64,10335,Synthetic (BDI benchmark)
2020-01-31,IND_VIZ_CAP,Capesize,Coal,10.32,17966,Synthetic (BDI benchmark)
2020-01-31,IND_DHA_PAN,Panamax,Coal,10.16,9105,Synthetic (BDI benchmark)
2020-01-31,IND_DHA_CAP,Capesize,Coal,10.83,17622,Synthetic (BDI benchmark)
2020-01-31,IND_GAN_PAN,Panamax,Coal,11.05,9352,Synthetic (BDI benchmark)
2020-01-31,IND_GAN_CAP,Capesize,Coal,11.55,17830,Synthetic (BDI benchmark)
2020-01-31,IND_GOP_PAN,Panamax,Coal,10.1,13621,Synthetic (BDI benchmark)
2020-01-31,IND_GOP_CAP,Capesize,Coal,8.5,15678,Synthetic (BDI benchmark)
2020-01-31,IND_HAL_PAN,Panamax,Coal,11.29,14844,Synthetic (BDI benchmark)
2020-01-31,IND_HAL_CAP,Capesize,Coal,9.94,18581,Synthetic (BDI benchmark)
2020-01-31,RUS_PAR_PAN,Panamax,Coal,22.45,11619,Synthetic (BDI benchmark)
2020-01-31,RUS_PAR_CAP,Capesize,Coal,25.5,17900,Synthetic (BDI benchmark)
2020-01-31,RUS_VIZ_PAN,Panamax,Coal,23.7,12545,Synthetic (BDI benchmark)
2020-01-31,RUS_VIZ_CAP,Capesize,Coal,25.09,15265,Synthetic (BDI benchmark)
2020-01-31,RUS_DHA_PAN,Panamax,Coal,22.52,10162,Synthetic (BDI benchmark)
2020-01-31,RUS_DHA_CAP,Capesize,Coal,23.68,19112,Synthetic (BDI benchmark)
2020-01-31,RUS_GAN_PAN,Panamax,Coal,21.48,11441,Synthetic (BDI benchmark)
2020-01-31,RUS_GAN_CAP,Capesize,Coal,20.57,16707,Synthetic (BDI benchmark)
2020-01-31,RUS_GOP_PAN,Panamax,Coal,21.57,13693,Synthetic (BDI benchmark)
2020-01-31,RUS_GOP_CAP,Capesize,Coal,19.34,18029,Synthetic (BDI benchmark)
2020-01-31,RUS_HAL_PAN,Panamax,Coal,22.63,11254,Synthetic (BDI benchmark)
2020-01-31,RUS_HAL_CAP,Capesize,Coal,22.92,16550,Synthetic (BDI benchmark)
2020-01-31,MOZ_PAR_PAN,Panamax,Coal,23.79,11061,Synthetic (BDI benchmark)
2020-01-31,MOZ_PAR_CAP,Capesize,Coal,19.69,15702,Synthetic (BDI benchmark)
2020-01-31,MOZ_VIZ_PAN,Panamax,Coal,20.88,13145,Synthetic (BDI benchmark)
2020-01-31,MOZ_VIZ_CAP,Capesize,Coal,19.54,15586,Synthetic (BDI benchmark)
2020-01-31,MOZ_DHA_PAN,Panamax,Coal,18.37,13565,Synthetic (BDI benchmark)
